date,temperature_celsius,rainfall_mm,weather_condition
2023-03-23,27.5,4.3,Rainy
2023-03-24,32.0,0.0,Normal
2023-03-25,35.1,0.0,Normal
2023-03-26,38.9,4.2,Rainy
2023-03-27,27.8,0.0,Normal
2023-03-28,26.0,0.0,Normal
2023-03-29,28.6,0.0,Normal
2023-03-30,37.2,5.4,Rainy
2023-03-31,31.0,0.0,Normal
2023-04-01,30.2,0.2,Normal
2023-04-02,37.1,0.0,Extreme Hot
2023-04-03,31.1,2.7,Normal
2023-04-04,37.2,2.2,Extreme Hot
2023-04-05,28.9,0.0,Normal
2023-04-06,37.8,0.0,Extreme Hot
2023-04-07,33.7,0.0,Normal
2023-04-08,35.3,0.0,Normal
2023-04-09,35.0,0.8,Normal
2023-04-10,28.3,0.8,Normal
2023-04-11,37.0,0.0,Extreme Hot
2023-04-12,28.5,2.4,Normal
2023-04-13,32.2,0.0,Normal
2023-04-14,33.3,0.0,Normal
2023-04-15,30.5,1.2,Normal
2023-04-16,34.2,0.0,Normal
2023-04-17,35.8,0.0,Normal
2023-04-18,38.6,0.0,Extreme Hot
2023-04-19,28.3,0.0,Normal
2023-04-20,27.4,0.0,Normal
2023-04-21,29.7,2.3,Normal
2023-04-22,28.5,0.0,Normal
2023-04-23,34.9,0.0,Normal
2023-04-24,27.3,0.0,Normal
2023-04-25,35.3,0.0,Normal
2023-04-26,31.6,6.6,Rainy
2023-04-27,33.2,0.9,Normal
2023-04-28,26.6,0.0,Normal
2023-04-29,25.8,0.0,Normal
2023-04-30,38.1,0.0,Extreme Hot
2023-05-01,26.7,0.0,Normal
2023-05-02,38.1,0.0,Extreme Hot
2023-05-03,32.1,0.0,Normal
2023-05-04,27.1,13.4,Rainy
2023-05-05,25.1,4.1,Rainy
2023-05-06,37.2,0.0,Extreme Hot
2023-05-07,32.2,0.0,Normal
2023-05-08,34.3,0.0,Normal
2023-05-09,25.4,0.0,Normal
2023-05-10,34.9,0.0,Normal
2023-05-11,34.4,0.4,Normal
2023-05-12,34.4,0.0,Normal
2023-05-13,37.2,0.0,Extreme Hot
2023-05-14,34.7,11.6,Rainy
2023-05-15,34.6,0.0,Normal
2023-05-16,33.6,3.4,Rainy
2023-05-17,25.4,4.7,Rainy
2023-05-18,34.5,0.0,Normal
2023-05-19,34.2,0.0,Normal
2023-05-20,34.1,0.0,Normal
2023-05-21,34.2,0.2,Normal
2023-05-22,38.7,0.0,Extreme Hot
2023-05-23,37.2,3.3,Rainy
2023-05-24,35.3,2.1,Normal
2023-05-25,29.6,0.0,Normal
2023-05-26,36.3,6.4,Rainy
2023-05-27,31.1,0.5,Normal
2023-05-28,32.6,0.0,Normal
2023-05-29,29.5,0.0,Normal
2023-05-30,30.5,0.0,Normal
2023-05-31,30.4,0.0,Normal
2023-06-01,28.3,0.0,Normal
2023-06-02,28.2,0.0,Normal
2023-06-03,33.4,0.0,Normal
2023-06-04,33.7,0.0,Normal
2023-06-05,30.3,2.9,Normal
2023-06-06,31.7,0.0,Normal
2023-06-07,29.8,0.0,Normal
2023-06-08,30.6,0.0,Normal
2023-06-09,32.5,0.0,Normal
2023-06-10,35.7,5.1,Rainy
2023-06-11,38.4,0.0,Extreme Hot
2023-06-12,27.7,0.0,Normal
2023-06-13,34.1,1.1,Normal
2023-06-14,38.0,0.0,Extreme Hot
2023-06-15,38.1,0.0,Extreme Hot
2023-06-16,26.4,0.0,Normal
2023-06-17,28.6,0.0,Normal
2023-06-18,29.3,3.1,Rainy
2023-06-19,29.4,0.0,Normal
2023-06-20,35.0,0.0,Normal
2023-06-21,30.8,0.0,Normal
2023-06-22,27.5,0.0,Normal
2023-06-23,27.5,0.0,Normal
2023-06-24,34.9,0.0,Normal
2023-06-25,32.9,0.0,Normal
2023-06-26,38.5,0.0,Extreme Hot
2023-06-27,36.3,0.0,Extreme Hot
2023-06-28,25.6,0.0,Normal
2023-06-29,38.3,0.0,Extreme Hot
2023-06-30,36.5,1.0,Extreme Hot
2023-07-01,28.0,0.0,Normal
2023-07-02,30.8,9.2,Rainy
2023-07-03,29.9,0.0,Normal
2023-07-04,35.9,0.0,Normal
2023-07-05,36.5,0.0,Extreme Hot
2023-07-06,34.3,0.0,Normal
2023-07-07,33.7,0.0,Normal
2023-07-08,33.2,0.0,Normal
2023-07-09,35.3,1.0,Normal
2023-07-10,26.3,0.0,Normal
2023-07-11,34.0,0.0,Normal
2023-07-12,32.7,0.0,Normal
2023-07-13,30.5,0.0,Normal
2023-07-14,32.0,0.6,Normal
2023-07-15,34.7,0.0,Normal
2023-07-16,31.0,4.7,Rainy
2023-07-17,38.9,0.0,Extreme Hot
2023-07-18,26.5,3.5,Rainy
2023-07-19,28.8,0.0,Normal
2023-07-20,26.2,0.9,Normal
2023-07-21,29.5,0.0,Normal
2023-07-22,30.0,0.0,Normal
2023-07-23,32.3,0.0,Normal
2023-07-24,36.2,0.0,Extreme Hot
2023-07-25,32.6,4.2,Rainy
2023-07-26,32.5,0.0,Normal
2023-07-27,29.7,0.0,Normal
2023-07-28,38.9,0.0,Extreme Hot
2023-07-29,32.8,2.5,Normal
2023-07-30,25.8,0.0,Normal
2023-07-31,38.4,0.0,Extreme Hot
2023-08-01,34.7,0.0,Normal
2023-08-02,32.5,0.0,Normal
2023-08-03,31.3,1.7,Normal
2023-08-04,34.3,10.5,Rainy
2023-08-05,28.3,0.0,Normal
2023-08-06,27.1,10.5,Rainy
2023-08-07,32.6,2.9,Normal
2023-08-08,33.7,0.0,Normal
2023-08-09,35.6,0.0,Normal
2023-08-10,36.6,4.9,Rainy
2023-08-11,25.5,0.0,Normal
2023-08-12,28.7,0.0,Normal
2023-08-13,26.2,3.2,Rainy
2023-08-14,29.3,0.0,Normal
2023-08-15,31.3,0.0,Normal
2023-08-16,32.2,2.7,Normal
2023-08-17,38.9,0.9,Extreme Hot
2023-08-18,38.0,0.0,Extreme Hot
2023-08-19,36.4,0.0,Extreme Hot
2023-08-20,37.3,6.6,Rainy
2023-08-21,36.1,0.0,Extreme Hot
2023-08-22,26.1,0.0,Normal
2023-08-23,27.4,0.0,Normal
2023-08-24,29.8,4.1,Rainy
2023-08-25,36.5,0.0,Extreme Hot
2023-08-26,37.1,2.7,Extreme Hot
2023-08-27,33.5,0.8,Normal
2023-08-28,32.0,0.0,Normal
2023-08-29,27.0,0.0,Normal
2023-08-30,26.0,0.0,Normal
2023-08-31,26.9,3.2,Rainy
2023-09-01,38.5,0.0,Extreme Hot
2023-09-02,29.4,0.0,Normal
2023-09-03,31.2,0.0,Normal
2023-09-04,34.0,0.0,Normal
2023-09-05,33.7,0.0,Normal
2023-09-06,27.1,0.0,Normal
2023-09-07,35.9,0.0,Normal
2023-09-08,25.8,0.2,Normal
2023-09-09,34.7,1.1,Normal
2023-09-10,27.0,0.0,Normal
2023-09-11,29.2,0.0,Normal
2023-09-12,34.7,0.0,Normal
2023-09-13,32.1,6.7,Rainy
2023-09-14,33.6,0.0,Normal
2023-09-15,33.7,0.0,Normal
2023-09-16,31.0,0.0,Normal
2023-09-17,37.4,0.0,Extreme Hot
2023-09-18,27.7,0.0,Normal
2023-09-19,30.8,5.3,Rainy
2023-09-20,35.8,0.0,Normal
2023-09-21,30.8,0.0,Normal
2023-09-22,25.3,0.0,Normal
2023-09-23,35.6,0.0,Normal
2023-09-24,32.5,0.0,Normal
2023-09-25,25.2,0.0,Normal
2023-09-26,38.7,12.8,Rainy
2023-09-27,31.8,0.0,Normal
2023-09-28,32.7,0.0,Normal
2023-09-29,36.8,0.0,Extreme Hot
2023-09-30,31.8,0.0,Normal
2023-10-01,29.5,2.6,Normal
2023-10-02,30.3,0.0,Normal
2023-10-03,31.4,8.9,Rainy
2023-10-04,38.4,1.5,Extreme Hot
2023-10-05,34.6,0.0,Normal
2023-10-06,28.6,0.2,Normal
2023-10-07,37.6,0.0,Extreme Hot
2023-10-08,33.9,0.0,Normal
2023-10-09,37.5,0.0,Extreme Hot
2023-10-10,33.6,0.0,Normal
2023-10-11,32.3,0.0,Normal
2023-10-12,35.3,0.0,Normal
2023-10-13,34.5,0.0,Normal
2023-10-14,26.2,0.3,Normal
2023-10-15,26.0,0.0,Normal
2023-10-16,38.4,1.7,Extreme Hot
2023-10-17,29.2,0.0,Normal
2023-10-18,35.8,0.0,Normal
2023-10-19,27.6,0.0,Normal
2023-10-20,26.4,0.0,Normal
2023-10-21,35.7,0.0,Normal
2023-10-22,25.3,0.0,Normal
2023-10-23,38.6,0.0,Extreme Hot
2023-10-24,35.8,0.0,Normal
2023-10-25,30.3,0.0,Normal
2023-10-26,26.7,0.0,Normal
2023-10-27,35.8,0.0,Normal
2023-10-28,32.4,0.0,Normal
2023-10-29,38.6,1.4,Extreme Hot
2023-10-30,38.7,0.0,Extreme Hot
2023-10-31,33.2,6.7,Rainy
2023-11-01,34.2,0.0,Normal
2023-11-02,29.7,1.0,Normal
2023-11-03,30.2,0.0,Normal
2023-11-04,31.2,0.0,Normal
2023-11-05,38.2,0.0,Extreme Hot
2023-11-06,26.7,0.0,Normal
2023-11-07,37.4,0.0,Extreme Hot
2023-11-08,29.0,7.9,Rainy
2023-11-09,36.9,1.2,Extreme Hot
2023-11-10,35.6,0.0,Normal
2023-11-11,36.8,6.0,Rainy
2023-11-12,34.2,0.0,Normal
2023-11-13,32.6,11.1,Rainy
2023-11-14,25.6,0.0,Normal
2023-11-15,26.8,6.8,Rainy
2023-11-16,28.0,0.0,Normal
2023-11-17,36.8,3.1,Rainy
2023-11-18,33.3,0.0,Normal
2023-11-19,29.2,0.0,Normal
2023-11-20,34.6,4.0,Rainy
2023-11-21,35.7,0.0,Normal
2023-11-22,31.5,0.0,Normal
2023-11-23,28.5,19.2,Rainy
2023-11-24,26.4,0.0,Normal
2023-11-25,36.2,0.0,Extreme Hot
2023-11-26,32.8,3.8,Rainy
2023-11-27,27.6,0.0,Normal
2023-11-28,36.0,0.0,Normal
2023-11-29,25.1,0.1,Normal
2023-11-30,35.4,0.0,Normal
2023-12-01,38.4,0.0,Extreme Hot
2023-12-02,29.6,0.0,Normal
2023-12-03,29.3,22.4,Rainy
2023-12-04,30.2,0.0,Normal
2023-12-05,35.1,3.6,Rainy
2023-12-06,30.5,0.0,Normal
2023-12-07,34.7,0.0,Normal
2023-12-08,33.7,0.0,Normal
2023-12-09,36.1,0.0,Extreme Hot
2023-12-10,33.2,0.0,Normal
2023-12-11,34.0,0.0,Normal
2023-12-12,33.1,0.0,Normal
2023-12-13,32.8,0.0,Normal
2023-12-14,34.5,1.3,Normal
2023-12-15,36.6,0.0,Extreme Hot
2023-12-16,26.1,0.0,Normal
2023-12-17,29.7,4.9,Rainy
2023-12-18,36.0,0.0,Normal
2023-12-19,31.2,0.0,Normal
2023-12-20,29.6,0.0,Normal
2023-12-21,26.2,0.0,Normal
2023-12-22,33.4,25.6,Rainy
2023-12-23,38.1,0.0,Extreme Hot
2023-12-24,30.9,0.0,Normal
2023-12-25,36.0,0.0,Normal
2023-12-26,30.7,1.9,Normal
2023-12-27,33.0,0.0,Normal
2023-12-28,27.6,0.0,Normal
2023-12-29,29.7,0.0,Normal
2023-12-30,25.3,1.3,Normal
2023-12-31,32.3,0.0,Normal
2024-01-01,38.2,0.0,Extreme Hot
2024-01-02,31.0,7.4,Rainy
2024-01-03,27.6,2.5,Normal
2024-01-04,31.8,0.0,Normal
2024-01-05,26.1,2.7,Normal
2024-01-06,31.1,5.8,Rainy
2024-01-07,27.2,0.0,Normal
2024-01-08,26.9,4.3,Rainy
2024-01-09,38.4,0.0,Extreme Hot
2024-01-10,25.8,0.0,Normal
2024-01-11,28.7,0.0,Normal
2024-01-12,37.7,0.0,Extreme Hot
2024-01-13,28.8,2.4,Normal
2024-01-14,35.9,0.0,Normal
2024-01-15,31.8,0.0,Normal
2024-01-16,25.9,0.6,Normal
2024-01-17,32.5,0.0,Normal
2024-01-18,29.9,0.1,Normal
2024-01-19,34.3,3.3,Rainy
2024-01-20,38.1,0.0,Extreme Hot
2024-01-21,30.9,0.0,Normal
2024-01-22,35.2,1.2,Normal
2024-01-23,34.2,0.0,Normal
2024-01-24,32.9,0.0,Normal
2024-01-25,38.6,0.0,Extreme Hot
2024-01-26,29.9,0.0,Normal
2024-01-27,27.1,0.0,Normal
2024-01-28,28.5,3.3,Rainy
2024-01-29,32.3,0.0,Normal
2024-01-30,37.0,0.3,Extreme Hot
2024-01-31,34.9,0.0,Normal
2024-02-01,26.1,0.0,Normal
2024-02-02,31.8,0.0,Normal
2024-02-03,38.2,4.4,Rainy
2024-02-04,31.5,0.0,Normal
2024-02-05,34.1,0.0,Normal
2024-02-06,25.9,0.0,Normal
2024-02-07,36.3,0.0,Extreme Hot
2024-02-08,25.7,0.9,Normal
2024-02-09,28.6,0.0,Normal
2024-02-10,29.6,2.9,Normal
2024-02-11,27.9,8.5,Rainy
2024-02-12,37.2,0.0,Extreme Hot
2024-02-13,31.3,5.9,Rainy
2024-02-14,25.4,0.0,Normal
2024-02-15,31.5,3.1,Rainy
2024-02-16,32.0,0.0,Normal
2024-02-17,34.2,1.9,Normal
2024-02-18,35.9,0.9,Normal
2024-02-19,32.3,0.0,Normal
2024-02-20,36.1,0.0,Extreme Hot
2024-02-21,33.9,2.0,Normal
2024-02-22,37.8,0.0,Extreme Hot
2024-02-23,27.2,0.0,Normal
2024-02-24,36.1,0.0,Extreme Hot
2024-02-25,37.0,1.3,Extreme Hot
2024-02-26,38.8,0.0,Extreme Hot
2024-02-27,27.8,0.0,Normal
2024-02-28,37.5,0.0,Extreme Hot
2024-02-29,27.1,0.0,Normal
2024-03-01,33.6,0.0,Normal
2024-03-02,37.4,2.8,Extreme Hot
2024-03-03,38.5,0.0,Extreme Hot
2024-03-04,38.8,0.0,Extreme Hot
2024-03-05,33.9,0.0,Normal
2024-03-06,37.3,0.0,Extreme Hot
2024-03-07,27.3,0.0,Normal
2024-03-08,32.8,0.0,Normal
2024-03-09,35.1,0.3,Normal
2024-03-10,35.2,0.0,Normal
2024-03-11,37.0,3.1,Rainy
2024-03-12,34.9,0.0,Normal
2024-03-13,31.6,2.5,Normal
2024-03-14,30.0,0.0,Normal
2024-03-15,36.6,0.0,Extreme Hot
2024-03-16,27.4,7.0,Rainy
2024-03-17,26.4,0.0,Normal
2024-03-18,27.0,0.0,Normal
2024-03-19,31.3,4.2,Rainy
2024-03-20,33.7,0.0,Normal
2024-03-21,36.8,0.0,Extreme Hot
2024-03-22,38.7,0.0,Extreme Hot
2024-03-23,26.8,0.0,Normal
2024-03-24,29.6,0.0,Normal
2024-03-25,26.0,0.0,Normal
2024-03-26,37.0,0.0,Extreme Hot
2024-03-27,36.7,0.0,Extreme Hot
2024-03-28,34.0,0.0,Normal
2024-03-29,32.2,0.0,Normal
2024-03-30,28.0,0.0,Normal
2024-03-31,29.3,0.0,Normal
2024-04-01,38.1,5.8,Rainy
2024-04-02,36.0,0.0,Normal
2024-04-03,28.6,4.4,Rainy
2024-04-04,32.8,0.0,Normal
2024-04-05,31.3,0.0,Normal
2024-04-06,37.1,0.0,Extreme Hot
2024-04-07,30.3,0.5,Normal
2024-04-08,30.9,0.0,Normal
2024-04-09,35.4,1.3,Normal
2024-04-10,37.0,0.0,Extreme Hot
2024-04-11,37.8,6.5,Rainy
2024-04-12,25.3,5.2,Rainy
2024-04-13,29.3,1.3,Normal
2024-04-14,37.2,0.0,Extreme Hot
2024-04-15,34.9,0.0,Normal
2024-04-16,26.4,0.0,Normal
2024-04-17,25.2,0.0,Normal
2024-04-18,29.2,0.0,Normal
2024-04-19,29.2,0.0,Normal
2024-04-20,35.4,0.0,Normal
2024-04-21,37.6,4.4,Rainy
2024-04-22,33.3,0.8,Normal
2024-04-23,26.1,0.0,Normal
2024-04-24,36.1,0.0,Extreme Hot
2024-04-25,33.2,7.7,Rainy
2024-04-26,32.3,0.0,Normal
2024-04-27,36.6,0.0,Extreme Hot
2024-04-28,26.6,0.0,Normal
2024-04-29,37.7,0.0,Extreme Hot
2024-04-30,36.6,3.4,Rainy
2024-05-01,32.2,0.0,Normal
2024-05-02,29.4,0.0,Normal
2024-05-03,35.8,0.0,Normal
2024-05-04,37.5,0.0,Extreme Hot
2024-05-05,33.5,0.0,Normal
2024-05-06,33.3,1.1,Normal
2024-05-07,32.2,0.0,Normal
2024-05-08,30.4,0.0,Normal
2024-05-09,34.1,3.7,Rainy
2024-05-10,35.4,0.0,Normal
2024-05-11,33.9,0.0,Normal
2024-05-12,28.6,0.0,Normal
2024-05-13,31.6,0.0,Normal
2024-05-14,27.0,0.0,Normal
2024-05-15,38.6,0.0,Extreme Hot
2024-05-16,31.7,0.0,Normal
2024-05-17,33.6,0.0,Normal
2024-05-18,27.9,0.0,Normal
2024-05-19,25.1,0.0,Normal
2024-05-20,28.1,0.0,Normal
2024-05-21,26.5,0.0,Normal
2024-05-22,36.2,0.0,Extreme Hot
2024-05-23,32.2,0.0,Normal
2024-05-24,38.0,0.0,Extreme Hot
2024-05-25,26.2,0.0,Normal
2024-05-26,26.6,0.0,Normal
2024-05-27,32.1,2.7,Normal
2024-05-28,34.8,0.6,Normal
2024-05-29,28.8,0.0,Normal
2024-05-30,30.9,0.0,Normal
2024-05-31,37.7,3.7,Rainy
2024-06-01,29.3,12.4,Rainy
2024-06-02,36.5,0.0,Extreme Hot
2024-06-03,33.9,0.0,Normal
2024-06-04,28.6,0.0,Normal
2024-06-05,33.5,0.0,Normal
2024-06-06,26.6,0.0,Normal
2024-06-07,31.4,0.0,Normal
2024-06-08,26.7,0.0,Normal
2024-06-09,35.5,0.0,Normal
2024-06-10,26.1,0.0,Normal
2024-06-11,38.2,0.0,Extreme Hot
2024-06-12,34.5,0.0,Normal
2024-06-13,33.3,0.0,Normal
2024-06-14,33.9,3.8,Rainy
2024-06-15,37.2,0.5,Extreme Hot
2024-06-16,37.6,0.0,Extreme Hot
2024-06-17,32.5,0.0,Normal
2024-06-18,25.2,0.0,Normal
2024-06-19,29.1,0.0,Normal
2024-06-20,33.1,0.0,Normal
2024-06-21,26.7,0.0,Normal
2024-06-22,29.8,4.2,Rainy
2024-06-23,36.8,0.0,Extreme Hot
2024-06-24,31.0,0.0,Normal
2024-06-25,28.9,0.0,Normal
2024-06-26,36.0,0.0,Normal
2024-06-27,36.2,7.8,Rainy
2024-06-28,37.8,0.0,Extreme Hot
2024-06-29,29.5,0.0,Normal
2024-06-30,30.2,0.0,Normal
2024-07-01,34.9,0.0,Normal
2024-07-02,30.2,0.0,Normal
2024-07-03,31.0,0.0,Normal
2024-07-04,37.5,0.0,Extreme Hot
2024-07-05,27.2,0.0,Normal
2024-07-06,34.0,0.0,Normal
2024-07-07,29.8,0.0,Normal
2024-07-08,30.7,0.0,Normal
2024-07-09,34.5,0.0,Normal
2024-07-10,30.1,0.0,Normal
2024-07-11,38.8,0.0,Extreme Hot
2024-07-12,34.6,0.0,Normal
2024-07-13,31.8,0.0,Normal
2024-07-14,32.1,1.9,Normal
2024-07-15,25.5,0.0,Normal
2024-07-16,30.4,0.0,Normal
2024-07-17,25.3,2.5,Normal
2024-07-18,29.0,0.5,Normal
2024-07-19,38.4,0.0,Extreme Hot
2024-07-20,37.4,0.0,Extreme Hot
2024-07-21,36.6,1.4,Extreme Hot
2024-07-22,38.5,0.0,Extreme Hot
2024-07-23,30.4,0.0,Normal
2024-07-24,32.6,0.0,Normal
2024-07-25,32.8,0.0,Normal
2024-07-26,35.7,2.3,Normal
2024-07-27,29.2,0.0,Normal
2024-07-28,27.7,0.0,Normal
2024-07-29,29.8,0.0,Normal
2024-07-30,38.5,0.0,Extreme Hot
2024-07-31,29.9,0.0,Normal
2024-08-01,26.9,0.0,Normal
2024-08-02,33.8,0.0,Normal
2024-08-03,30.6,8.5,Rainy
2024-08-04,33.7,0.0,Normal
2024-08-05,33.7,0.0,Normal
2024-08-06,30.5,0.0,Normal
2024-08-07,31.7,0.0,Normal
2024-08-08,28.2,9.6,Rainy
2024-08-09,35.1,0.0,Normal
2024-08-10,37.2,0.0,Extreme Hot
2024-08-11,36.1,0.0,Extreme Hot
2024-08-12,36.1,0.0,Extreme Hot
2024-08-13,37.3,0.6,Extreme Hot
2024-08-14,31.5,2.6,Normal
2024-08-15,37.1,0.0,Extreme Hot
2024-08-16,30.3,0.0,Normal
2024-08-17,27.8,2.0,Normal
2024-08-18,32.2,0.0,Normal
2024-08-19,33.1,15.8,Rainy
2024-08-20,30.7,5.8,Rainy
2024-08-21,33.0,0.9,Normal
2024-08-22,26.5,2.3,Normal
2024-08-23,36.9,0.3,Extreme Hot
2024-08-24,37.4,0.0,Extreme Hot
2024-08-25,32.1,0.0,Normal
2024-08-26,38.0,0.0,Extreme Hot
2024-08-27,31.7,0.0,Normal
2024-08-28,35.1,0.0,Normal
2024-08-29,26.9,0.0,Normal
2024-08-30,30.0,1.3,Normal
2024-08-31,27.9,0.0,Normal
2024-09-01,39.0,0.0,Extreme Hot
2024-09-02,36.6,0.0,Extreme Hot
2024-09-03,25.2,7.2,Rainy
2024-09-04,35.4,0.0,Normal
2024-09-05,35.5,4.3,Rainy
2024-09-06,35.7,3.8,Rainy
2024-09-07,26.2,0.0,Normal
2024-09-08,26.1,0.0,Normal
2024-09-09,30.7,0.0,Normal
2024-09-10,29.9,0.0,Normal
2024-09-11,36.3,0.3,Extreme Hot
2024-09-12,38.4,0.0,Extreme Hot
2024-09-13,29.2,0.0,Normal
2024-09-14,32.0,4.9,Rainy
2024-09-15,25.7,0.0,Normal
2024-09-16,30.6,0.0,Normal
2024-09-17,28.3,0.0,Normal
2024-09-18,36.2,2.1,Extreme Hot
2024-09-19,37.7,0.0,Extreme Hot
2024-09-20,31.7,0.0,Normal
2024-09-21,34.0,3.7,Rainy
2024-09-22,30.0,0.0,Normal
2024-09-23,26.7,2.8,Normal
2024-09-24,31.3,0.0,Normal
2024-09-25,33.7,0.0,Normal
2024-09-26,34.6,0.0,Normal
2024-09-27,35.0,6.5,Rainy
2024-09-28,32.7,0.0,Normal
2024-09-29,27.0,1.3,Normal
2024-09-30,32.0,0.0,Normal
2024-10-01,26.9,0.0,Normal
2024-10-02,25.8,1.5,Normal
2024-10-03,25.0,0.0,Normal
2024-10-04,25.7,0.0,Normal
2024-10-05,34.9,0.0,Normal
2024-10-06,36.8,0.0,Extreme Hot
2024-10-07,28.5,1.5,Normal
2024-10-08,26.4,0.0,Normal
2024-10-09,28.8,1.5,Normal
2024-10-10,36.0,2.3,Normal
2024-10-11,37.7,0.0,Extreme Hot
2024-10-12,38.5,0.0,Extreme Hot
2024-10-13,34.6,0.0,Normal
2024-10-14,30.4,0.0,Normal
2024-10-15,34.9,0.0,Normal
2024-10-16,27.3,4.4,Rainy
2024-10-17,38.5,12.0,Rainy
2024-10-18,34.8,0.0,Normal
2024-10-19,26.5,4.1,Rainy
2024-10-20,25.7,0.0,Normal
2024-10-21,38.4,0.0,Extreme Hot
2024-10-22,31.1,0.0,Normal
2024-10-23,27.9,0.0,Normal
2024-10-24,30.2,0.0,Normal
2024-10-25,35.7,0.0,Normal
2024-10-26,36.5,1.0,Extreme Hot
2024-10-27,34.2,0.0,Normal
2024-10-28,37.3,0.0,Extreme Hot
2024-10-29,34.5,0.0,Normal
2024-10-30,29.1,0.0,Normal
2024-10-31,34.1,1.5,Normal
2024-11-01,34.0,0.0,Normal
2024-11-02,35.0,0.0,Normal
2024-11-03,37.5,0.0,Extreme Hot
2024-11-04,30.1,0.0,Normal
2024-11-05,26.6,0.0,Normal
2024-11-06,28.7,0.1,Normal
2024-11-07,30.3,0.0,Normal
2024-11-08,25.3,0.0,Normal
2024-11-09,30.8,0.0,Normal
2024-11-10,30.7,0.0,Normal
2024-11-11,33.3,0.0,Normal
2024-11-12,31.5,2.9,Normal
2024-11-13,34.5,0.0,Normal
2024-11-14,35.8,2.9,Normal
2024-11-15,38.7,0.0,Extreme Hot
2024-11-16,25.2,6.6,Rainy
2024-11-17,26.7,0.0,Normal
2024-11-18,25.2,0.0,Normal
2024-11-19,35.8,0.0,Normal
2024-11-20,29.9,0.0,Normal
2024-11-21,25.0,0.0,Normal
2024-11-22,34.1,7.5,Rainy
2024-11-23,25.3,6.1,Rainy
2024-11-24,35.9,0.0,Normal
2024-11-25,30.6,0.0,Normal
2024-11-26,25.9,0.0,Normal
2024-11-27,28.5,0.0,Normal
2024-11-28,35.5,0.0,Normal
2024-11-29,25.8,11.4,Rainy
2024-11-30,36.0,3.1,Rainy
2024-12-01,38.5,0.0,Extreme Hot
