movement_id,datetime,product_id,warehouse_id,store_id,movement_type,qty
MV000049,2023-02-19 14:00:00,SKU050,WH001,STORE005,INBOUND,19
MV000050,2024-09-01 14:00:00,SKU006,WH003,STORE003,TRANSFER_STORE,94
MV000051,2023-12-15 13:00:00,SKU005,WH002,STORE004,INBOUND,47
MV000052,2023-08-22 15:00:00,SKU061,WH003,STORE001,TRANSFER_STORE,47
MV000053,2023-01-18 14:00:00,SKU058,WH001,STORE004,TRANSFER_STORE,56
MV000054,2023-08-28 16:00:00,SKU022,WH001,STORE002,INBOUND,16
MV000055,2024-12-26 11:00:00,SKU057,WH001,STORE010,INBOUND,21
MV000056,2023-06-17 07:00:00,SKU075,WH003,STORE006,INBOUND,61
MV000057,2024-12-22 07:00:00,SKU032,WH002,STORE002,INBOUND,42
MV000058,2024-07-07 15:00:00,SKU017,WH001,STORE009,TRANSFER_STORE,98
MV000059,2024-02-24 16:00:00,SKU058,WH002,STORE002,TRANSFER_STORE,33
MV000060,2024-06-18 10:00:00,SKU041,WH002,STORE004,INBOUND,57
MV000061,2023-10-22 08:00:00,SKU022,WH003,STORE004,INBOUND,40
MV000062,2024-10-28 10:00:00,SKU080,WH003,STORE001,TRANSFER_STORE,91
MV000063,2024-02-04 10:00:00,SKU042,WH002,STORE007,TRANSFER_STORE,32
MV000064,2024-06-10 18:00:00,SKU079,WH001,STORE001,TRANSFER_STORE,80
MV000065,2024-06-13 10:00:00,SKU008,WH001,STORE008,RETURNS,81
MV000066,2024-09-26 18:00:00,SKU046,WH003,STORE003,TRANSFER_STORE,24
MV000067,2024-11-17 15:00:00,SKU048,WH001,STORE008,INBOUND,47
MV000068,2024-04-13 15:00:00,SKU003,WH002,STORE008,INBOUND,37
MV000069,2024-01-15 13:00:00,SKU077,WH001,STORE010,INBOUND,30
MV000070,2023-06-24 14:00:00,SKU030,WH003,STORE010,TRANSFER_STORE,36
MV000071,2024-01-15 18:00:00,SKU028,WH002,STORE005,TRANSFER_STORE,56
MV000072,2024-05-17 11:00:00,SKU073,WH002,STORE003,INBOUND,65
MV000073,2024-10-12 17:00:00,SKU076,WH001,STORE009,TRANSFER_STORE,23
MV000074,2024-08-07 11:00:00,SKU025,WH001,STORE001,TRANSFER_STORE,30
MV000075,2024-06-16 08:00:00,SKU037,WH002,STORE001,TRANSFER_STORE,23
MV000076,2024-06-14 17:00:00,SKU051,WH003,STORE002,INBOUND,79
MV000077,2023-04-24 15:00:00,SKU039,WH003,STORE010,INBOUND,85
MV000078,2023-02-22 08:00:00,SKU072,WH001,STORE006,INBOUND,37
MV000079,2023-05-27 07:00:00,SKU067,WH003,STORE002,TRANSFER_STORE,46
MV000080,2024-03-27 17:00:00,SKU001,WH002,STORE004,TRANSFER_STORE,76
MV000081,2024-08-20 13:00:00,SKU038,WH003,STORE006,TRANSFER_STORE,42
MV000082,2024-07-05 15:00:00,SKU052,WH002,STORE002,INBOUND,21
MV000083,2024-11-07 16:00:00,SKU063,WH001,STORE004,TRANSFER_STORE,21
MV000084,2024-10-08 07:00:00,SKU052,WH003,STORE007,TRANSFER_STORE,84
MV000085,2023-05-21 10:00:00,SKU060,WH002,STORE001,INBOUND,60
MV000086,2024-06-25 14:00:00,SKU013,WH001,STORE009,INBOUND,44
MV000087,2023-07-12 16:00:00,SKU017,WH002,STORE010,TRANSFER_STORE,95
MV000088,2024-09-15 13:00:00,SKU030,WH003,STORE010,TRANSFER_STORE,96
MV000089,2023-03-25 13:00:00,SKU038,WH002,STORE007,RETURNS,21
MV000090,2023-01-15 11:00:00,SKU011,WH001,STORE009,TRANSFER_STORE,28
MV000091,2024-08-17 14:00:00,SKU027,WH001,STORE007,TRANSFER_STORE,68
MV000092,2023-11-03 10:00:00,SKU038,WH003,STORE001,TRANSFER_STORE,22
MV000093,2023-12-03 18:00:00,SKU028,WH001,STORE007,INBOUND,28
MV000094,2023-04-12 18:00:00,SKU026,WH003,STORE009,TRANSFER_STORE,45
MV000095,2023-09-30 18:00:00,SKU033,WH001,STORE008,RETURNS,95
MV000096,2023-07-31 12:00:00,SKU032,WH003,STORE004,TRANSFER_STORE,13
MV000097,2024-05-23 18:00:00,SKU054,WH001,STORE005,TRANSFER_STORE,22
MV000098,2023-06-13 14:00:00,SKU025,WH003,STORE003,TRANSFER_STORE,93
MV000099,2024-02-05 14:00:00,SKU024,WH002,STORE010,RETURNS,15
MV000100,2023-04-18 07:00:00,SKU040,WH002,STORE010,INBOUND,53
MV000101,2023-07-06 17:00:00,SKU027,WH003,STORE002,TRANSFER_STORE,85
MV000102,2023-08-11 16:00:00,SKU046,WH001,STORE003,TRANSFER_STORE,89
MV000103,2023-01-31 09:00:00,SKU069,WH001,STORE007,TRANSFER_STORE,90
MV000104,2024-06-24 14:00:00,SKU069,WH003,STORE008,TRANSFER_STORE,17
MV000105,2023-12-16 18:00:00,SKU039,WH001,STORE002,RETURNS,42
MV000106,2024-03-20 14:00:00,SKU029,WH003,STORE009,INBOUND,61
MV000107,2023-04-27 18:00:00,SKU075,WH002,STORE004,INBOUND,85
MV000108,2023-03-25 15:00:00,SKU031,WH003,STORE002,TRANSFER_STORE,99
MV000109,2023-09-09 15:00:00,SKU065,WH001,STORE007,INBOUND,92
MV000110,2024-05-18 14:00:00,SKU015,WH001,STORE002,TRANSFER_STORE,22
MV000111,2023-03-23 10:00:00,SKU074,WH003,STORE007,INBOUND,19
MV000112,2023-12-11 15:00:00,SKU009,WH003,STORE008,TRANSFER_STORE,43
MV000113,2023-01-12 06:00:00,SKU013,WH003,STORE009,TRANSFER_STORE,36
MV000114,2024-09-24 16:00:00,SKU045,WH003,STORE001,TRANSFER_STORE,67
MV000115,2024-08-09 16:00:00,SKU006,WH002,STORE002,INBOUND,76
MV000116,2023-06-20 07:00:00,SKU044,WH001,STORE002,INBOUND,53
MV000117,2024-03-31 13:00:00,SKU002,WH001,STORE007,INBOUND,78
MV000118,2024-08-13 06:00:00,SKU029,WH003,STORE006,INBOUND,14
MV000119,2024-01-15 11:00:00,SKU048,WH003,STORE009,INBOUND,46
MV000120,2023-06-01 14:00:00,SKU012,WH003,STORE003,INBOUND,80
MV000121,2024-03-11 12:00:00,SKU067,WH002,STORE008,TRANSFER_STORE,65
MV000122,2024-08-22 09:00:00,SKU050,WH002,STORE005,INBOUND,60
MV000123,2023-08-15 18:00:00,SKU011,WH003,STORE005,TRANSFER_STORE,65
MV000124,2024-01-18 07:00:00,SKU005,WH001,STORE010,INBOUND,51
MV000125,2024-10-05 16:00:00,SKU045,WH002,STORE005,TRANSFER_STORE,22
MV000126,2023-11-17 17:00:00,SKU074,WH001,STORE008,INBOUND,43
MV000127,2024-05-31 14:00:00,SKU047,WH002,STORE007,TRANSFER_STORE,43
MV000128,2023-01-22 18:00:00,SKU006,WH003,STORE007,TRANSFER_STORE,62
MV000129,2024-04-20 17:00:00,SKU080,WH003,STORE004,TRANSFER_STORE,12
MV000130,2023-01-13 18:00:00,SKU069,WH001,STORE006,TRANSFER_STORE,83
MV000131,2024-11-15 11:00:00,SKU063,WH003,STORE001,TRANSFER_STORE,46
MV000132,2023-07-19 08:00:00,SKU067,WH001,STORE006,TRANSFER_STORE,61
MV000133,2024-11-20 12:00:00,SKU047,WH003,STORE005,TRANSFER_STORE,15
MV000134,2023-01-21 17:00:00,SKU034,WH003,STORE001,INBOUND,30
MV000135,2023-05-05 07:00:00,SKU012,WH001,STORE001,TRANSFER_STORE,54
MV000136,2024-08-12 09:00:00,SKU027,WH003,STORE003,RETURNS,14
MV000137,2024-08-21 07:00:00,SKU069,WH002,STORE004,TRANSFER_STORE,12
MV000138,2023-01-11 09:00:00,SKU068,WH003,STORE001,TRANSFER_STORE,29
MV000139,2024-06-29 08:00:00,SKU028,WH001,STORE010,INBOUND,85
MV000140,2024-08-10 13:00:00,SKU071,WH003,STORE007,TRANSFER_STORE,70
MV000141,2023-11-11 08:00:00,SKU045,WH002,STORE002,INBOUND,44
MV000142,2024-10-23 11:00:00,SKU002,WH003,STORE004,INBOUND,41
MV000143,2023-12-24 07:00:00,SKU009,WH003,STORE009,TRANSFER_STORE,28
MV000144,2023-09-07 17:00:00,SKU079,WH002,STORE008,TRANSFER_STORE,24
MV000145,2024-03-12 06:00:00,SKU031,WH003,STORE002,RETURNS,83
MV000146,2024-08-10 06:00:00,SKU036,WH003,STORE009,INBOUND,66
MV000147,2024-12-07 14:00:00,SKU015,WH001,STORE001,TRANSFER_STORE,35
MV000148,2023-12-02 14:00:00,SKU062,WH001,STORE006,INBOUND,79
MV000149,2023-04-14 14:00:00,SKU031,WH001,STORE003,TRANSFER_STORE,99
MV000150,2023-05-06 06:00:00,SKU027,WH001,STORE001,TRANSFER_STORE,11
MV000151,2023-10-18 11:00:00,SKU002,WH002,STORE008,TRANSFER_STORE,58
MV000152,2023-03-04 08:00:00,SKU073,WH001,STORE006,TRANSFER_STORE,57
MV000153,2023-11-03 09:00:00,SKU043,WH001,STORE004,TRANSFER_STORE,41
MV000154,2024-04-17 09:00:00,SKU001,WH003,STORE003,TRANSFER_STORE,12
MV000155,2024-02-15 07:00:00,SKU009,WH002,STORE010,TRANSFER_STORE,92
MV000156,2023-12-18 17:00:00,SKU060,WH002,STORE002,TRANSFER_STORE,29
MV000157,2024-06-27 13:00:00,SKU002,WH001,STORE005,TRANSFER_STORE,46
MV000158,2023-07-30 12:00:00,SKU058,WH003,STORE008,TRANSFER_STORE,29
MV000159,2024-02-16 08:00:00,SKU065,WH002,STORE008,TRANSFER_STORE,69
MV000160,2024-03-26 07:00:00,SKU012,WH002,STORE003,RETURNS,68
MV000161,2023-08-11 17:00:00,SKU055,WH001,STORE009,INBOUND,90
MV000162,2023-12-24 14:00:00,SKU010,WH001,STORE010,INBOUND,51
MV000163,2024-09-05 12:00:00,SKU065,WH001,STORE005,TRANSFER_STORE,32
MV000164,2024-08-04 09:00:00,SKU065,WH003,STORE007,INBOUND,50
MV000165,2023-08-03 11:00:00,SKU061,WH001,STORE009,TRANSFER_STORE,82
MV000166,2023-09-05 18:00:00,SKU075,WH002,STORE007,INBOUND,36
MV000167,2024-09-25 06:00:00,SKU069,WH002,STORE010,TRANSFER_STORE,90
MV000168,2024-12-22 06:00:00,SKU035,WH001,STORE003,TRANSFER_STORE,55
MV000169,2024-10-03 11:00:00,SKU011,WH002,STORE002,TRANSFER_STORE,26
MV000170,2024-07-11 11:00:00,SKU068,WH003,STORE007,TRANSFER_STORE,11
MV000171,2024-03-16 07:00:00,SKU038,WH001,STORE010,INBOUND,24
MV000172,2024-01-11 16:00:00,SKU039,WH002,STORE008,TRANSFER_STORE,84
MV000173,2023-10-26 13:00:00,SKU021,WH002,STORE004,TRANSFER_STORE,66
MV000174,2024-11-12 09:00:00,SKU036,WH001,STORE001,INBOUND,50
MV000175,2023-03-30 16:00:00,SKU072,WH002,STORE006,TRANSFER_STORE,82
MV000176,2023-12-09 12:00:00,SKU020,WH002,STORE009,TRANSFER_STORE,23
MV000177,2024-01-20 09:00:00,SKU043,WH001,STORE004,TRANSFER_STORE,17
MV000178,2024-08-21 13:00:00,SKU021,WH003,STORE003,TRANSFER_STORE,85
MV000179,2024-08-04 08:00:00,SKU035,WH002,STORE006,TRANSFER_STORE,16
MV000180,2024-01-01 11:00:00,SKU064,WH003,STORE006,TRANSFER_STORE,76
MV000181,2023-04-29 07:00:00,SKU032,WH003,STORE004,TRANSFER_STORE,35
MV000182,2024-01-24 10:00:00,SKU036,WH003,STORE007,TRANSFER_STORE,12
MV000183,2023-09-10 12:00:00,SKU069,WH003,STORE002,INBOUND,55
MV000184,2024-11-26 15:00:00,SKU052,WH003,STORE001,TRANSFER_STORE,13
MV000185,2023-02-13 16:00:00,SKU004,WH002,STORE006,TRANSFER_STORE,66
MV000186,2023-05-18 14:00:00,SKU007,WH002,STORE003,TRANSFER_STORE,55
MV000187,2023-09-03 13:00:00,SKU071,WH003,STORE003,TRANSFER_STORE,23
MV000188,2024-05-12 08:00:00,SKU024,WH001,STORE001,TRANSFER_STORE,12
MV000189,2024-04-12 06:00:00,SKU021,WH003,STORE002,RETURNS,22
MV000190,2023-06-12 14:00:00,SKU057,WH001,STORE003,TRANSFER_STORE,17
MV000191,2024-08-31 12:00:00,SKU073,WH002,STORE001,INBOUND,65
MV000192,2024-10-27 12:00:00,SKU019,WH001,STORE008,RETURNS,11
MV000193,2024-02-24 06:00:00,SKU028,WH002,STORE006,TRANSFER_STORE,55
MV000194,2023-12-18 09:00:00,SKU032,WH001,STORE009,TRANSFER_STORE,40
MV000195,2023-10-30 08:00:00,SKU034,WH003,STORE001,TRANSFER_STORE,90
MV000196,2024-06-17 07:00:00,SKU016,WH002,STORE004,TRANSFER_STORE,44
MV000197,2024-01-22 18:00:00,SKU038,WH001,STORE004,TRANSFER_STORE,71
MV000198,2023-09-19 10:00:00,SKU075,WH003,STORE005,TRANSFER_STORE,55
MV000199,2023-03-12 17:00:00,SKU004,WH001,STORE002,INBOUND,33
MV000200,2024-11-30 12:00:00,SKU056,WH001,STORE001,RETURNS,74
MV000201,2023-03-20 06:00:00,SKU040,WH001,STORE009,INBOUND,99
MV000202,2023-04-18 15:00:00,SKU050,WH002,STORE005,INBOUND,53
MV000203,2024-12-14 13:00:00,SKU040,WH002,STORE008,TRANSFER_STORE,60
MV000204,2023-11-28 16:00:00,SKU049,WH003,STORE003,TRANSFER_STORE,97
MV000205,2023-07-29 11:00:00,SKU048,WH001,STORE004,TRANSFER_STORE,55
MV000206,2024-07-02 16:00:00,SKU006,WH001,STORE004,TRANSFER_STORE,42
MV000207,2023-11-03 12:00:00,SKU005,WH002,STORE006,TRANSFER_STORE,73
MV000208,2023-09-29 06:00:00,SKU079,WH002,STORE004,TRANSFER_STORE,35
MV000209,2024-01-18 07:00:00,SKU045,WH001,STORE005,TRANSFER_STORE,48
MV000210,2023-02-08 09:00:00,SKU016,WH001,STORE005,TRANSFER_STORE,67
MV000211,2024-11-16 14:00:00,SKU017,WH001,STORE008,TRANSFER_STORE,35
MV000212,2024-07-13 06:00:00,SKU059,WH002,STORE009,TRANSFER_STORE,84
MV000213,2023-05-19 13:00:00,SKU056,WH001,STORE008,RETURNS,76
MV000214,2023-08-08 06:00:00,SKU079,WH001,STORE005,INBOUND,82
MV000215,2023-09-28 08:00:00,SKU035,WH002,STORE006,INBOUND,66
MV000216,2024-05-13 12:00:00,SKU008,WH002,STORE004,INBOUND,79
MV000217,2023-08-02 12:00:00,SKU061,WH002,STORE002,TRANSFER_STORE,82
MV000218,2023-05-18 14:00:00,SKU027,WH002,STORE005,TRANSFER_STORE,17
MV000219,2023-04-15 10:00:00,SKU078,WH001,STORE001,TRANSFER_STORE,43
MV000220,2024-10-10 10:00:00,SKU020,WH002,STORE001,TRANSFER_STORE,97
MV000221,2024-11-23 10:00:00,SKU057,WH002,STORE001,TRANSFER_STORE,78
MV000222,2024-04-09 07:00:00,SKU070,WH001,STORE004,INBOUND,19
MV000223,2024-06-25 18:00:00,SKU023,WH003,STORE005,TRANSFER_STORE,93
MV000224,2024-08-15 09:00:00,SKU076,WH001,STORE004,INBOUND,31
MV000225,2024-08-29 11:00:00,SKU002,WH001,STORE006,TRANSFER_STORE,21
MV000226,2023-08-05 06:00:00,SKU027,WH001,STORE002,TRANSFER_STORE,38
MV000227,2024-08-12 12:00:00,SKU032,WH001,STORE005,TRANSFER_STORE,40
MV000228,2024-08-11 18:00:00,SKU050,WH001,STORE006,TRANSFER_STORE,15
MV000229,2023-02-15 12:00:00,SKU064,WH001,STORE005,TRANSFER_STORE,16
MV000230,2024-05-22 12:00:00,SKU040,WH001,STORE006,TRANSFER_STORE,88
MV000231,2023-09-24 17:00:00,SKU033,WH003,STORE008,INBOUND,22
MV000232,2024-11-06 15:00:00,SKU029,WH001,STORE002,TRANSFER_STORE,72
MV000233,2024-10-03 17:00:00,SKU033,WH001,STORE007,INBOUND,33
MV000234,2023-01-04 15:00:00,SKU017,WH001,STORE006,TRANSFER_STORE,93
MV000235,2023-06-27 08:00:00,SKU074,WH001,STORE010,TRANSFER_STORE,28
MV000236,2024-06-01 14:00:00,SKU065,WH001,STORE008,TRANSFER_STORE,92
MV000237,2023-10-12 15:00:00,SKU043,WH003,STORE009,TRANSFER_STORE,97
MV000238,2024-06-05 13:00:00,SKU063,WH002,STORE008,INBOUND,78
MV000239,2023-10-04 11:00:00,SKU058,WH002,STORE005,INBOUND,31
MV000240,2023-12-26 07:00:00,SKU043,WH001,STORE004,INBOUND,69
MV000241,2024-12-24 09:00:00,SKU037,WH003,STORE003,INBOUND,31
MV000242,2023-12-03 14:00:00,SKU046,WH003,STORE010,TRANSFER_STORE,26
MV000243,2024-04-09 08:00:00,SKU025,WH003,STORE009,TRANSFER_STORE,56
MV000244,2024-05-17 07:00:00,SKU067,WH002,STORE007,TRANSFER_STORE,16
MV000245,2024-04-09 10:00:00,SKU051,WH002,STORE001,TRANSFER_STORE,26
MV000246,2023-07-21 06:00:00,SKU074,WH003,STORE003,TRANSFER_STORE,85
MV000247,2024-10-19 12:00:00,SKU038,WH002,STORE003,TRANSFER_STORE,71
MV000248,2024-07-20 14:00:00,SKU038,WH002,STORE006,INBOUND,72
MV000249,2023-05-03 18:00:00,SKU001,WH001,STORE002,TRANSFER_STORE,16
MV000250,2023-04-19 18:00:00,SKU054,WH001,STORE004,INBOUND,38
MV000251,2024-01-28 10:00:00,SKU065,WH001,STORE002,TRANSFER_STORE,81
MV000252,2023-02-05 09:00:00,SKU022,WH003,STORE005,TRANSFER_STORE,13
MV000253,2023-11-09 09:00:00,SKU061,WH001,STORE004,TRANSFER_STORE,25
MV000254,2024-08-27 14:00:00,SKU058,WH003,STORE004,INBOUND,89
MV000255,2024-06-19 07:00:00,SKU054,WH001,STORE004,RETURNS,95
MV000256,2024-06-03 13:00:00,SKU019,WH003,STORE004,INBOUND,84
MV000257,2023-07-30 14:00:00,SKU070,WH002,STORE005,RETURNS,68
MV000258,2024-04-26 13:00:00,SKU034,WH003,STORE002,TRANSFER_STORE,50
MV000259,2024-10-29 17:00:00,SKU079,WH002,STORE006,TRANSFER_STORE,69
MV000260,2024-01-03 14:00:00,SKU044,WH001,STORE001,INBOUND,84
MV000261,2023-08-16 17:00:00,SKU067,WH002,STORE010,RETURNS,78
MV000262,2023-08-28 09:00:00,SKU052,WH002,STORE002,TRANSFER_STORE,67
MV000263,2024-02-19 10:00:00,SKU022,WH001,STORE003,INBOUND,85
MV000264,2024-05-01 13:00:00,SKU029,WH003,STORE002,TRANSFER_STORE,49
MV000265,2023-01-15 10:00:00,SKU014,WH003,STORE003,TRANSFER_STORE,98
MV000266,2023-04-07 09:00:00,SKU062,WH003,STORE008,INBOUND,67
MV000267,2023-01-09 15:00:00,SKU015,WH001,STORE003,INBOUND,70
MV000268,2023-01-13 15:00:00,SKU014,WH003,STORE010,INBOUND,54
MV000269,2023-04-26 11:00:00,SKU067,WH002,STORE001,INBOUND,86
MV000270,2023-07-17 14:00:00,SKU022,WH001,STORE008,INBOUND,57
MV000271,2024-10-14 12:00:00,SKU007,WH003,STORE008,INBOUND,99
MV000272,2023-01-24 08:00:00,SKU007,WH002,STORE007,INBOUND,20
MV000273,2024-07-12 08:00:00,SKU017,WH002,STORE004,INBOUND,65
MV000274,2024-02-10 08:00:00,SKU032,WH003,STORE005,RETURNS,32
MV000275,2023-12-24 10:00:00,SKU079,WH001,STORE010,TRANSFER_STORE,86
MV000276,2023-06-20 06:00:00,SKU077,WH002,STORE006,TRANSFER_STORE,42
MV000277,2023-09-26 07:00:00,SKU056,WH002,STORE006,TRANSFER_STORE,61
MV000278,2024-11-01 08:00:00,SKU062,WH002,STORE007,INBOUND,37
MV000279,2023-08-27 07:00:00,SKU058,WH002,STORE004,TRANSFER_STORE,13
MV000280,2024-09-17 06:00:00,SKU058,WH003,STORE008,TRANSFER_STORE,60
MV000281,2024-10-30 11:00:00,SKU003,WH001,STORE002,TRANSFER_STORE,19
MV000282,2024-04-06 13:00:00,SKU080,WH002,STORE009,RETURNS,61
MV000283,2023-05-18 06:00:00,SKU001,WH002,STORE006,TRANSFER_STORE,81
MV000284,2023-10-02 18:00:00,SKU067,WH002,STORE001,TRANSFER_STORE,18
MV000285,2023-10-14 07:00:00,SKU020,WH001,STORE001,RETURNS,27
MV000286,2023-01-21 06:00:00,SKU062,WH002,STORE008,TRANSFER_STORE,75
MV000287,2024-12-25 17:00:00,SKU056,WH001,STORE010,RETURNS,91
MV000288,2024-05-21 17:00:00,SKU053,WH001,STORE010,INBOUND,49
MV000289,2024-08-28 17:00:00,SKU065,WH001,STORE007,RETURNS,75
MV000290,2023-10-06 07:00:00,SKU056,WH001,STORE003,TRANSFER_STORE,31
MV000291,2024-08-01 09:00:00,SKU078,WH003,STORE008,TRANSFER_STORE,89
MV000292,2023-06-13 10:00:00,SKU045,WH003,STORE008,INBOUND,83
MV000293,2024-01-16 18:00:00,SKU079,WH003,STORE007,INBOUND,43
MV000294,2023-09-03 14:00:00,SKU018,WH002,STORE005,INBOUND,57
MV000295,2024-10-20 07:00:00,SKU048,WH001,STORE008,TRANSFER_STORE,25
MV000296,2023-03-02 15:00:00,SKU038,WH001,STORE005,INBOUND,58
MV000297,2024-05-09 17:00:00,SKU022,WH003,STORE001,INBOUND,72
MV000298,2024-09-22 10:00:00,SKU080,WH003,STORE008,RETURNS,49
MV000299,2023-04-12 16:00:00,SKU075,WH001,STORE007,TRANSFER_STORE,65
MV000300,2023-05-28 08:00:00,SKU071,WH003,STORE007,TRANSFER_STORE,86
MV000301,2023-10-11 14:00:00,SKU073,WH002,STORE002,TRANSFER_STORE,57
MV000302,2024-04-21 06:00:00,SKU001,WH002,STORE003,TRANSFER_STORE,46
MV000303,2024-08-24 17:00:00,SKU042,WH002,STORE003,INBOUND,21
MV000304,2024-07-25 13:00:00,SKU072,WH001,STORE010,TRANSFER_STORE,88
MV000305,2023-06-04 17:00:00,SKU075,WH003,STORE006,TRANSFER_STORE,41
MV000306,2024-02-04 10:00:00,SKU069,WH002,STORE006,INBOUND,32
MV000307,2024-08-11 12:00:00,SKU029,WH002,STORE003,TRANSFER_STORE,83
MV000308,2023-07-29 08:00:00,SKU006,WH002,STORE005,TRANSFER_STORE,81
MV000309,2023-07-01 11:00:00,SKU056,WH002,STORE009,TRANSFER_STORE,30
MV000310,2023-03-22 13:00:00,SKU012,WH002,STORE007,INBOUND,84
MV000311,2023-11-02 18:00:00,SKU039,WH003,STORE009,TRANSFER_STORE,21
MV000312,2023-05-28 08:00:00,SKU071,WH002,STORE002,TRANSFER_STORE,58
MV000313,2023-10-24 06:00:00,SKU012,WH002,STORE010,TRANSFER_STORE,56
MV000314,2023-09-29 17:00:00,SKU033,WH002,STORE010,RETURNS,92
MV000315,2024-10-23 16:00:00,SKU053,WH001,STORE001,TRANSFER_STORE,71
MV000316,2023-08-08 08:00:00,SKU019,WH003,STORE002,TRANSFER_STORE,47
MV000317,2024-03-05 07:00:00,SKU058,WH002,STORE006,INBOUND,35
MV000318,2023-04-21 14:00:00,SKU043,WH003,STORE010,TRANSFER_STORE,49
MV000319,2024-09-28 06:00:00,SKU073,WH002,STORE007,TRANSFER_STORE,25
MV000320,2023-02-06 09:00:00,SKU045,WH001,STORE008,TRANSFER_STORE,28
MV000321,2023-11-09 12:00:00,SKU019,WH001,STORE006,TRANSFER_STORE,59
MV000322,2024-06-22 12:00:00,SKU037,WH001,STORE006,TRANSFER_STORE,65
MV000323,2023-04-12 17:00:00,SKU011,WH001,STORE003,TRANSFER_STORE,38
