waste_id,datetime,product_id,warehouse_id,qty,reason
WST00063,2024-10-04 16:54:00,SKU032,WH002,2,Damaged Packaging
WST00064,2023-08-29 14:35:00,SKU017,WH003,3,Damaged Packaging
WST00065,2024-05-20 08:23:00,SKU051,WH001,9,Damaged Packaging
WST00066,2024-09-10 09:51:00,SKU008,WH003,7,Expired Shelf Life
WST00067,2023-04-12 13:31:00,SKU021,WH003,1,Expired Shelf Life
WST00068,2023-08-04 10:25:00,SKU023,WH001,5,Damaged Packaging
WST00069,2024-09-08 16:09:00,SKU051,WH003,5,Expired Shelf Life
WST00070,2023-05-29 08:15:00,SKU006,WH002,9,Expired Shelf Life
WST00071,2023-11-18 09:00:00,SKU052,WH003,1,Expired Shelf Life
WST00072,2023-03-07 15:28:00,SKU008,WH001,1,Expired Shelf Life
WST00073,2023-04-27 14:29:00,SKU069,WH001,7,Expired Shelf Life
WST00074,2024-06-23 15:44:00,SKU033,WH002,7,Expired Shelf Life
WST00075,2023-11-09 16:02:00,SKU062,WH001,8,Expired Shelf Life
WST00076,2023-08-19 13:22:00,SKU065,WH002,4,Expired Shelf Life
WST00077,2023-03-24 17:56:00,SKU063,WH003,7,Expired Shelf Life
WST00078,2023-01-02 18:22:00,SKU032,WH003,6,Expired Shelf Life
WST00079,2024-10-20 14:25:00,SKU055,WH003,1,Damaged Packaging
WST00080,2024-06-07 09:25:00,SKU033,WH001,2,Expired Shelf Life
WST00081,2024-06-04 17:56:00,SKU038,WH001,8,Water Damage / Cold Loss
WST00082,2024-10-12 18:44:00,SKU002,WH002,6,Expired Shelf Life
WST00083,2023-03-02 15:15:00,SKU010,WH003,7,Damaged Packaging
WST00084,2023-01-13 09:49:00,SKU066,WH002,8,Expired Shelf Life
WST00085,2023-09-14 15:31:00,SKU076,WH002,5,Water Damage / Cold Loss
WST00086,2024-06-14 08:10:00,SKU015,WH001,5,Expired Shelf Life
WST00087,2023-02-10 18:36:00,SKU061,WH003,2,Expired Shelf Life
WST00088,2023-05-22 20:04:00,SKU031,WH002,4,Expired Shelf Life
WST00089,2024-07-13 11:30:00,SKU038,WH003,2,Water Damage / Cold Loss
WST00090,2024-10-10 08:05:00,SKU029,WH001,7,Expired Shelf Life
WST00091,2023-08-29 09:29:00,SKU078,WH003,9,Expired Shelf Life
WST00092,2023-08-13 19:57:00,SKU043,WH002,2,Expired Shelf Life
WST00093,2024-07-23 12:08:00,SKU023,WH002,4,Expired Shelf Life
WST00094,2024-11-05 12:59:00,SKU025,WH003,8,Expired Shelf Life
WST00095,2024-11-06 08:17:00,SKU028,WH003,9,Damaged Packaging
WST00096,2023-06-07 08:08:00,SKU072,WH003,4,Expired Shelf Life
WST00097,2023-05-11 08:44:00,SKU001,WH002,8,Expired Shelf Life
WST00098,2024-12-05 17:50:00,SKU020,WH002,7,Damaged Packaging
WST00099,2023-12-21 20:48:00,SKU029,WH002,5,Damaged Packaging
WST00100,2023-02-28 18:52:00,SKU008,WH003,4,Expired Shelf Life
WST00101,2024-05-09 19:23:00,SKU062,WH002,6,Expired Shelf Life
WST00102,2024-10-16 08:31:00,SKU014,WH003,6,Water Damage / Cold Loss
WST00103,2023-07-05 20:33:00,SKU038,WH002,2,Damaged Packaging
WST00104,2023-02-03 11:17:00,SKU003,WH002,3,Damaged Packaging
WST00105,2023-02-09 09:24:00,SKU003,WH003,6,Expired Shelf Life
WST00106,2023-04-01 15:15:00,SKU055,WH001,4,Expired Shelf Life
WST00107,2024-10-04 18:02:00,SKU078,WH002,3,Expired Shelf Life
WST00108,2024-01-21 13:44:00,SKU021,WH001,4,Expired Shelf Life
WST00109,2023-06-06 17:56:00,SKU035,WH002,6,Expired Shelf Life
WST00110,2023-09-05 21:38:00,SKU044,WH002,3,Damaged Packaging
WST00111,2023-06-01 17:20:00,SKU044,WH002,1,Water Damage / Cold Loss
WST00112,2024-01-01 19:02:00,SKU043,WH003,6,Expired Shelf Life
WST00113,2023-01-03 08:42:00,SKU041,WH002,2,Expired Shelf Life
WST00114,2024-04-27 17:21:00,SKU027,WH001,9,Expired Shelf Life
WST00115,2023-04-20 10:37:00,SKU028,WH002,6,Damaged Packaging
WST00116,2024-05-17 10:57:00,SKU005,WH002,1,Expired Shelf Life
WST00117,2023-01-18 17:04:00,SKU043,WH002,4,Expired Shelf Life
WST00118,2023-11-27 17:56:00,SKU063,WH003,5,Water Damage / Cold Loss
WST00119,2023-09-24 14:07:00,SKU039,WH003,8,Water Damage / Cold Loss
WST00120,2023-04-26 15:10:00,SKU010,WH001,3,Damaged Packaging
WST00121,2023-08-20 21:43:00,SKU063,WH003,9,Expired Shelf Life
WST00122,2023-04-02 10:19:00,SKU009,WH002,9,Water Damage / Cold Loss
WST00123,2024-02-03 21:00:00,SKU029,WH003,5,Expired Shelf Life
WST00124,2024-08-22 08:44:00,SKU028,WH003,4,Expired Shelf Life
WST00125,2024-04-20 14:52:00,SKU011,WH002,7,Expired Shelf Life
WST00126,2024-06-28 13:43:00,SKU015,WH002,9,Damaged Packaging
WST00127,2024-06-20 17:29:00,SKU024,WH003,6,Expired Shelf Life
WST00128,2023-08-08 12:28:00,SKU035,WH002,7,Expired Shelf Life
WST00129,2024-02-23 21:37:00,SKU061,WH003,1,Expired Shelf Life
WST00130,2024-08-05 14:23:00,SKU020,WH003,4,Expired Shelf Life
WST00131,2024-08-26 08:31:00,SKU058,WH002,2,Expired Shelf Life
WST00132,2023-06-20 12:45:00,SKU063,WH001,1,Damaged Packaging
WST00133,2024-10-16 14:52:00,SKU075,WH003,7,Damaged Packaging
WST00134,2023-01-18 15:00:00,SKU060,WH001,4,Expired Shelf Life
WST00135,2024-01-29 20:26:00,SKU039,WH001,2,Expired Shelf Life
WST00136,2023-11-09 10:22:00,SKU020,WH003,5,Damaged Packaging
WST00137,2023-08-20 17:44:00,SKU058,WH003,7,Damaged Packaging
WST00138,2024-02-02 14:22:00,SKU064,WH002,2,Expired Shelf Life
WST00139,2023-04-08 14:42:00,SKU014,WH002,7,Expired Shelf Life
WST00140,2023-12-18 18:06:00,SKU036,WH001,3,Expired Shelf Life
WST00141,2024-11-10 08:05:00,SKU013,WH001,8,Damaged Packaging
WST00142,2024-10-16 09:32:00,SKU001,WH003,7,Expired Shelf Life
WST00143,2024-03-25 14:35:00,SKU013,WH003,1,Damaged Packaging
WST00144,2024-09-18 11:40:00,SKU035,WH002,9,Expired Shelf Life
WST00145,2023-08-01 15:19:00,SKU008,WH003,6,Damaged Packaging
WST00146,2024-01-11 13:24:00,SKU018,WH003,4,Water Damage / Cold Loss
WST00147,2023-10-18 10:53:00,SKU034,WH001,6,Expired Shelf Life
WST00148,2023-12-11 21:58:00,SKU052,WH003,2,Expired Shelf Life
WST00149,2023-06-26 21:31:00,SKU070,WH001,2,Damaged Packaging
WST00150,2024-11-06 12:50:00,SKU058,WH001,8,Expired Shelf Life
WST00151,2023-11-26 11:18:00,SKU027,WH002,5,Expired Shelf Life
WST00152,2023-02-03 20:42:00,SKU018,WH002,7,Water Damage / Cold Loss
WST00153,2024-01-23 12:18:00,SKU057,WH001,1,Expired Shelf Life
WST00154,2024-06-10 08:41:00,SKU009,WH003,6,Expired Shelf Life
WST00155,2024-07-18 09:19:00,SKU064,WH003,7,Damaged Packaging
WST00156,2024-09-18 15:55:00,SKU079,WH003,7,Expired Shelf Life
WST00157,2023-12-19 10:23:00,SKU023,WH001,3,Expired Shelf Life
WST00158,2024-02-29 18:52:00,SKU059,WH002,9,Expired Shelf Life
WST00159,2023-12-15 13:03:00,SKU067,WH003,9,Expired Shelf Life
WST00160,2024-03-26 21:29:00,SKU073,WH001,5,Water Damage / Cold Loss
WST00161,2024-01-20 17:33:00,SKU022,WH002,9,Expired Shelf Life
WST00162,2023-09-18 17:04:00,SKU050,WH003,7,Water Damage / Cold Loss
WST00163,2024-02-07 21:22:00,SKU023,WH001,7,Damaged Packaging
WST00164,2023-08-01 10:52:00,SKU052,WH001,9,Expired Shelf Life
WST00165,2024-01-15 21:37:00,SKU007,WH002,2,Expired Shelf Life
WST00166,2024-08-15 13:41:00,SKU017,WH002,5,Expired Shelf Life
WST00167,2023-08-10 17:29:00,SKU003,WH003,8,Expired Shelf Life
WST00168,2024-12-11 09:31:00,SKU007,WH002,8,Damaged Packaging
WST00169,2023-03-24 10:15:00,SKU077,WH001,3,Damaged Packaging
WST00170,2024-08-04 18:51:00,SKU041,WH003,5,Water Damage / Cold Loss
WST00171,2023-12-08 11:43:00,SKU023,WH001,4,Water Damage / Cold Loss
WST00172,2023-08-30 11:36:00,SKU037,WH001,4,Expired Shelf Life
WST00173,2023-11-17 17:31:00,SKU068,WH001,2,Damaged Packaging
WST00174,2024-12-05 19:39:00,SKU073,WH001,6,Damaged Packaging
WST00175,2023-10-13 08:41:00,SKU070,WH003,1,Expired Shelf Life
WST00176,2024-07-15 21:29:00,SKU064,WH001,8,Expired Shelf Life
WST00177,2024-02-26 15:02:00,SKU018,WH002,9,Expired Shelf Life
WST00178,2024-10-05 19:32:00,SKU035,WH001,5,Expired Shelf Life
WST00179,2024-01-22 08:44:00,SKU023,WH001,6,Expired Shelf Life
WST00180,2023-05-04 16:42:00,SKU007,WH003,1,Expired Shelf Life
WST00181,2023-12-21 10:45:00,SKU061,WH003,6,Expired Shelf Life
WST00182,2024-08-10 14:45:00,SKU076,WH003,1,Expired Shelf Life
WST00183,2023-11-10 14:56:00,SKU049,WH002,5,Expired Shelf Life
WST00184,2024-03-23 09:08:00,SKU057,WH001,9,Expired Shelf Life
WST00185,2024-10-22 20:22:00,SKU068,WH001,5,Expired Shelf Life
WST00186,2023-06-05 18:29:00,SKU012,WH002,3,Water Damage / Cold Loss
WST00187,2023-10-07 10:10:00,SKU015,WH002,4,Expired Shelf Life
WST00188,2024-01-30 12:38:00,SKU002,WH003,3,Expired Shelf Life
WST00189,2023-08-19 21:58:00,SKU047,WH002,4,Expired Shelf Life
WST00190,2023-05-20 19:19:00,SKU075,WH002,6,Damaged Packaging
WST00191,2023-03-30 15:16:00,SKU056,WH003,3,Damaged Packaging
WST00192,2024-04-19 11:01:00,SKU014,WH002,5,Damaged Packaging
WST00193,2023-05-07 13:39:00,SKU027,WH003,7,Expired Shelf Life
WST00194,2024-08-04 16:57:00,SKU004,WH001,1,Expired Shelf Life
WST00195,2023-10-12 10:17:00,SKU038,WH003,3,Expired Shelf Life
WST00196,2024-09-18 09:38:00,SKU002,WH002,6,Expired Shelf Life
WST00197,2023-06-30 18:54:00,SKU004,WH002,2,Expired Shelf Life
WST00198,2023-11-14 18:38:00,SKU024,WH003,8,Expired Shelf Life
WST00199,2023-02-24 08:36:00,SKU009,WH002,7,Damaged Packaging
WST00200,2024-12-25 18:44:00,SKU019,WH001,2,Expired Shelf Life
WST00201,2023-11-23 18:15:00,SKU062,WH003,5,Damaged Packaging
WST00202,2024-03-01 21:15:00,SKU072,WH003,4,Expired Shelf Life
WST00203,2024-12-12 15:45:00,SKU041,WH002,2,Expired Shelf Life
WST00204,2024-11-24 12:09:00,SKU077,WH002,4,Expired Shelf Life
WST00205,2023-11-04 08:33:00,SKU072,WH002,9,Expired Shelf Life
WST00206,2023-04-15 21:35:00,SKU078,WH003,2,Damaged Packaging
WST00207,2023-01-18 20:39:00,SKU050,WH003,6,Expired Shelf Life
WST00208,2023-02-10 20:08:00,SKU074,WH002,4,Damaged Packaging
WST00209,2023-03-17 08:11:00,SKU065,WH003,8,Expired Shelf Life
WST00210,2023-09-29 16:27:00,SKU076,WH001,4,Damaged Packaging
WST00211,2024-05-12 11:37:00,SKU076,WH002,9,Expired Shelf Life
WST00212,2023-08-01 11:20:00,SKU012,WH003,3,Water Damage / Cold Loss
WST00213,2024-08-12 09:43:00,SKU039,WH001,7,Water Damage / Cold Loss
WST00214,2024-02-28 13:45:00,SKU029,WH002,5,Water Damage / Cold Loss
WST00215,2024-06-10 13:11:00,SKU058,WH003,1,Expired Shelf Life
WST00216,2024-09-20 12:51:00,SKU067,WH002,3,Expired Shelf Life
WST00217,2024-07-01 21:47:00,SKU071,WH002,9,Expired Shelf Life
WST00218,2023-08-18 16:18:00,SKU077,WH002,9,Damaged Packaging
WST00219,2024-08-20 16:14:00,SKU075,WH003,5,Expired Shelf Life
WST00220,2023-10-08 14:05:00,SKU025,WH001,5,Damaged Packaging
WST00221,2024-10-15 21:20:00,SKU049,WH001,4,Expired Shelf Life
WST00222,2023-06-06 09:36:00,SKU063,WH002,4,Expired Shelf Life
WST00223,2024-03-30 19:26:00,SKU027,WH003,4,Expired Shelf Life
WST00224,2023-11-17 17:31:00,SKU070,WH003,2,Damaged Packaging
WST00225,2023-07-22 15:25:00,SKU070,WH003,7,Damaged Packaging
WST00226,2023-04-19 15:34:00,SKU058,WH001,3,Expired Shelf Life
WST00227,2024-05-11 15:50:00,SKU009,WH003,1,Expired Shelf Life
WST00228,2023-07-02 12:08:00,SKU001,WH002,3,Damaged Packaging
WST00229,2023-12-11 20:39:00,SKU076,WH003,9,Expired Shelf Life
WST00230,2024-02-12 20:45:00,SKU065,WH001,9,Expired Shelf Life
WST00231,2024-12-14 10:18:00,SKU024,WH001,7,Damaged Packaging
WST00232,2024-12-09 14:55:00,SKU019,WH001,1,Damaged Packaging
WST00233,2024-07-27 11:24:00,SKU014,WH001,6,Expired Shelf Life
WST00234,2024-05-29 16:26:00,SKU014,WH003,1,Expired Shelf Life
WST00235,2023-07-06 11:07:00,SKU080,WH003,2,Expired Shelf Life
WST00236,2024-02-08 19:13:00,SKU032,WH001,3,Expired Shelf Life
WST00237,2024-05-26 16:53:00,SKU006,WH003,6,Expired Shelf Life
WST00238,2023-07-20 19:00:00,SKU023,WH002,7,Expired Shelf Life
WST00239,2024-09-11 14:44:00,SKU019,WH001,8,Water Damage / Cold Loss
WST00240,2023-02-09 08:38:00,SKU002,WH001,9,Expired Shelf Life
WST00241,2023-06-24 18:53:00,SKU074,WH003,7,Damaged Packaging
WST00242,2023-07-01 21:25:00,SKU041,WH002,6,Expired Shelf Life
WST00243,2023-04-09 09:47:00,SKU053,WH001,5,Water Damage / Cold Loss
WST00244,2024-02-09 08:16:00,SKU027,WH002,2,Damaged Packaging
WST00245,2023-05-06 21:33:00,SKU008,WH001,8,Expired Shelf Life
WST00246,2023-05-12 09:19:00,SKU043,WH003,5,Expired Shelf Life
WST00247,2024-12-16 14:01:00,SKU033,WH001,2,Expired Shelf Life
WST00248,2023-07-28 08:58:00,SKU043,WH003,3,Expired Shelf Life
WST00249,2024-03-05 09:32:00,SKU030,WH002,7,Expired Shelf Life
WST00250,2023-03-08 13:21:00,SKU034,WH003,8,Expired Shelf Life
