date,holiday_name,is_holiday
2023-06-06,Regular Day,0
2023-06-07,Regular Day,0
2023-06-08,Regular Day,0
2023-06-09,Regular Day,0
2023-06-10,Weekend,1
2023-06-11,Weekend,1
2023-06-12,Regular Day,0
2023-06-13,Regular Day,0
2023-06-14,Regular Day,0
2023-06-15,Regular Day,0
2023-06-16,Regular Day,0
2023-06-17,Weekend,1
2023-06-18,Weekend,1
2023-06-19,Regular Day,0
2023-06-20,Regular Day,0
2023-06-21,Regular Day,0
2023-06-22,Regular Day,0
2023-06-23,Regular Day,0
2023-06-24,Weekend,1
2023-06-25,Weekend,1
2023-06-26,Regular Day,0
2023-06-27,Regular Day,0
2023-06-28,Regular Day,0
2023-06-29,Regular Day,0
2023-06-30,Regular Day,0
2023-07-01,Weekend,1
2023-07-02,Weekend,1
2023-07-03,Regular Day,0
2023-07-04,Regular Day,0
2023-07-05,Regular Day,0
2023-07-06,Regular Day,0
2023-07-07,Regular Day,0
2023-07-08,Weekend,1
2023-07-09,Weekend,1
2023-07-10,Regular Day,0
2023-07-11,Regular Day,0
2023-07-12,Regular Day,0
2023-07-13,Regular Day,0
2023-07-14,Regular Day,0
2023-07-15,Weekend,1
2023-07-16,Weekend,1
2023-07-17,Regular Day,0
2023-07-18,Regular Day,0
2023-07-19,Regular Day,0
2023-07-20,Regular Day,0
2023-07-21,Regular Day,0
2023-07-22,Weekend,1
2023-07-23,Weekend,1
2023-07-24,Regular Day,0
2023-07-25,Regular Day,0
2023-07-26,Regular Day,0
2023-07-27,Regular Day,0
2023-07-28,HM King Maha Vajiralongkorn's Birthday,1
2023-07-29,Weekend,1
2023-07-30,Weekend,1
2023-07-31,Bridge Public Holiday,1
2023-08-01,Asarnha Bucha,1
2023-08-02,Buddhist Lent Day,1
2023-08-03,Regular Day,0
2023-08-04,Regular Day,0
2023-08-05,Weekend,1
2023-08-06,Weekend,1
2023-08-07,Regular Day,0
2023-08-08,Regular Day,0
2023-08-09,Regular Day,0
2023-08-10,Regular Day,0
2023-08-11,Regular Day,0
2023-08-12,HM Queen Sirikit The Queen Mother's Birthday; National Mother's Day,1
2023-08-13,Weekend,1
2023-08-14,HM Queen Sirikit The Queen Mother's Birthday (in lieu); National Mother's Day (in lieu),1
2023-08-15,Regular Day,0
2023-08-16,Regular Day,0
2023-08-17,Regular Day,0
2023-08-18,Regular Day,0
2023-08-19,Weekend,1
2023-08-20,Weekend,1
2023-08-21,Regular Day,0
2023-08-22,Regular Day,0
2023-08-23,Regular Day,0
2023-08-24,Regular Day,0
2023-08-25,Regular Day,0
2023-08-26,Weekend,1
2023-08-27,Weekend,1
2023-08-28,Regular Day,0
2023-08-29,Regular Day,0
2023-08-30,Regular Day,0
2023-08-31,Regular Day,0
2023-09-01,Regular Day,0
2023-09-02,Weekend,1
2023-09-03,Weekend,1
2023-09-04,Regular Day,0
2023-09-05,Regular Day,0
2023-09-06,Regular Day,0
2023-09-07,Regular Day,0
2023-09-08,Regular Day,0
2023-09-09,Weekend,1
2023-09-10,Weekend,1
2023-09-11,Regular Day,0
2023-09-12,Regular Day,0
2023-09-13,Regular Day,0
2023-09-14,Regular Day,0
2023-09-15,Regular Day,0
2023-09-16,Weekend,1
2023-09-17,Weekend,1
2023-09-18,Regular Day,0
2023-09-19,Regular Day,0
2023-09-20,Regular Day,0
2023-09-21,Regular Day,0
2023-09-22,Regular Day,0
2023-09-23,Weekend,1
2023-09-24,Weekend,1
2023-09-25,Regular Day,0
2023-09-26,Regular Day,0
2023-09-27,Regular Day,0
2023-09-28,Regular Day,0
2023-09-29,Regular Day,0
2023-09-30,Weekend,1
2023-10-01,Weekend,1
2023-10-02,Regular Day,0
2023-10-03,Regular Day,0
2023-10-04,Regular Day,0
2023-10-05,Regular Day,0
2023-10-06,Regular Day,0
2023-10-07,Weekend,1
2023-10-08,Weekend,1
2023-10-09,Regular Day,0
2023-10-10,Regular Day,0
2023-10-11,Regular Day,0
2023-10-12,Regular Day,0
2023-10-13,HM King Bhumibol Adulyadej Memorial Day,1
2023-10-14,Weekend,1
2023-10-15,Weekend,1
2023-10-16,Regular Day,0
2023-10-17,Regular Day,0
2023-10-18,Regular Day,0
2023-10-19,Regular Day,0
2023-10-20,Regular Day,0
2023-10-21,Weekend,1
2023-10-22,Weekend,1
2023-10-23,HM King Chulalongkorn Memorial Day,1
2023-10-24,Regular Day,0
2023-10-25,Regular Day,0
2023-10-26,Regular Day,0
2023-10-27,Regular Day,0
2023-10-28,Weekend,1
2023-10-29,Weekend,1
2023-10-30,Regular Day,0
2023-10-31,Regular Day,0
2023-11-01,Regular Day,0
2023-11-02,Regular Day,0
2023-11-03,Regular Day,0
2023-11-04,Weekend,1
2023-11-05,Weekend,1
2023-11-06,Regular Day,0
2023-11-07,Regular Day,0
2023-11-08,Regular Day,0
2023-11-09,Regular Day,0
2023-11-10,Regular Day,0
2023-11-11,Weekend,1
2023-11-12,Weekend,1
2023-11-13,Regular Day,0
2023-11-14,Regular Day,0
2023-11-15,Regular Day,0
2023-11-16,Regular Day,0
2023-11-17,Regular Day,0
2023-11-18,Weekend,1
2023-11-19,Weekend,1
2023-11-20,Regular Day,0
2023-11-21,Regular Day,0
2023-11-22,Regular Day,0
2023-11-23,Regular Day,0
2023-11-24,Regular Day,0
2023-11-25,Weekend,1
2023-11-26,Weekend,1
2023-11-27,Regular Day,0
2023-11-28,Regular Day,0
2023-11-29,Regular Day,0
2023-11-30,Regular Day,0
2023-12-01,Regular Day,0
2023-12-02,Weekend,1
2023-12-03,Weekend,1
2023-12-04,Regular Day,0
2023-12-05,HM King Bhumibol Adulyadej the Great's Birthday; National Day; National Father's Day,1
2023-12-06,Regular Day,0
2023-12-07,Regular Day,0
2023-12-08,Regular Day,0
2023-12-09,Weekend,1
2023-12-10,Constitution Day,1
2023-12-11,Constitution Day (in lieu),1
2023-12-12,Regular Day,0
2023-12-13,Regular Day,0
2023-12-14,Regular Day,0
2023-12-15,Regular Day,0
2023-12-16,Weekend,1
2023-12-17,Weekend,1
2023-12-18,Regular Day,0
2023-12-19,Regular Day,0
2023-12-20,Regular Day,0
2023-12-21,Regular Day,0
2023-12-22,Regular Day,0
2023-12-23,Weekend,1
2023-12-24,Weekend,1
2023-12-25,Regular Day,0
2023-12-26,Regular Day,0
2023-12-27,Regular Day,0
2023-12-28,Regular Day,0
2023-12-29,Bridge Public Holiday,1
2023-12-30,Weekend,1
2023-12-31,New Year's Eve,1
2024-01-01,New Year's Day,1
2024-01-02,Regular Day,0
2024-01-03,Regular Day,0
2024-01-04,Regular Day,0
2024-01-05,Regular Day,0
2024-01-06,Weekend,1
2024-01-07,Weekend,1
2024-01-08,Regular Day,0
2024-01-09,Regular Day,0
2024-01-10,Regular Day,0
2024-01-11,Regular Day,0
2024-01-12,Regular Day,0
2024-01-13,National Children's Day,1
2024-01-14,Weekend,1
2024-01-15,Regular Day,0
2024-01-16,Regular Day,0
2024-01-17,Regular Day,0
2024-01-18,Regular Day,0
2024-01-19,Regular Day,0
2024-01-20,Weekend,1
2024-01-21,Weekend,1
2024-01-22,Regular Day,0
2024-01-23,Regular Day,0
2024-01-24,Regular Day,0
2024-01-25,Regular Day,0
2024-01-26,Regular Day,0
2024-01-27,Weekend,1
2024-01-28,Weekend,1
2024-01-29,Regular Day,0
2024-01-30,Regular Day,0
2024-01-31,Regular Day,0
2024-02-01,Regular Day,0
2024-02-02,Regular Day,0
2024-02-03,Weekend,1
2024-02-04,Weekend,1
2024-02-05,Regular Day,0
2024-02-06,Regular Day,0
2024-02-07,Regular Day,0
2024-02-08,Regular Day,0
2024-02-09,Regular Day,0
2024-02-10,Weekend,1
2024-02-11,Weekend,1
2024-02-12,Regular Day,0
2024-02-13,Regular Day,0
2024-02-14,Regular Day,0
2024-02-15,Regular Day,0
2024-02-16,Regular Day,0
2024-02-17,Weekend,1
2024-02-18,Weekend,1
2024-02-19,Regular Day,0
2024-02-20,Regular Day,0
2024-02-21,Regular Day,0
2024-02-22,Regular Day,0
2024-02-23,Regular Day,0
2024-02-24,Makha Bucha,1
2024-02-25,Weekend,1
2024-02-26,Makha Bucha (in lieu),1
2024-02-27,Regular Day,0
2024-02-28,Regular Day,0
2024-02-29,Regular Day,0
2024-03-01,Regular Day,0
2024-03-02,Weekend,1
2024-03-03,Weekend,1
2024-03-04,Regular Day,0
2024-03-05,Regular Day,0
2024-03-06,Regular Day,0
2024-03-07,Regular Day,0
2024-03-08,Regular Day,0
2024-03-09,Weekend,1
2024-03-10,Weekend,1
2024-03-11,Regular Day,0
2024-03-12,Regular Day,0
2024-03-13,Regular Day,0
2024-03-14,Regular Day,0
2024-03-15,Regular Day,0
2024-03-16,Weekend,1
2024-03-17,Weekend,1
2024-03-18,Regular Day,0
2024-03-19,Regular Day,0
2024-03-20,Regular Day,0
2024-03-21,Regular Day,0
2024-03-22,Regular Day,0
2024-03-23,Weekend,1
2024-03-24,Weekend,1
2024-03-25,Regular Day,0
2024-03-26,Regular Day,0
2024-03-27,Regular Day,0
2024-03-28,Regular Day,0
2024-03-29,Regular Day,0
2024-03-30,Weekend,1
2024-03-31,Weekend,1
2024-04-01,Regular Day,0
2024-04-02,Regular Day,0
2024-04-03,Regular Day,0
2024-04-04,Regular Day,0
2024-04-05,Regular Day,0
2024-04-06,Chakri Memorial Day,1
2024-04-07,Weekend,1
2024-04-08,Chakri Memorial Day (in lieu),1
2024-04-09,Regular Day,0
2024-04-10,Regular Day,0
2024-04-11,Regular Day,0
2024-04-12,Bridge Public Holiday,1
2024-04-13,Songkran Festival,1
2024-04-14,Songkran Festival,1
2024-04-15,Songkran Festival,1
2024-04-16,Songkran Festival (in lieu),1
2024-04-17,Regular Day,0
2024-04-18,Regular Day,0
2024-04-19,Regular Day,0
2024-04-20,Weekend,1
2024-04-21,Weekend,1
2024-04-22,Regular Day,0
2024-04-23,Regular Day,0
2024-04-24,Regular Day,0
2024-04-25,Regular Day,0
2024-04-26,Regular Day,0
2024-04-27,Weekend,1
2024-04-28,Weekend,1
2024-04-29,Regular Day,0
2024-04-30,Regular Day,0
2024-05-01,National Labor Day,1
2024-05-02,Regular Day,0
2024-05-03,Regular Day,0
2024-05-04,Coronation Day,1
2024-05-05,Weekend,1
2024-05-06,Coronation Day (in lieu),1
2024-05-07,Regular Day,0
2024-05-08,Regular Day,0
2024-05-09,Regular Day,0
2024-05-10,Regular Day,0
2024-05-11,Weekend,1
2024-05-12,Weekend,1
2024-05-13,Regular Day,0
2024-05-14,Regular Day,0
2024-05-15,Regular Day,0
2024-05-16,Regular Day,0
2024-05-17,Regular Day,0
2024-05-18,Weekend,1
2024-05-19,Weekend,1
2024-05-20,Regular Day,0
2024-05-21,Regular Day,0
2024-05-22,Visakha Bucha,1
2024-05-23,Regular Day,0
2024-05-24,Regular Day,0
2024-05-25,Weekend,1
2024-05-26,Weekend,1
2024-05-27,Regular Day,0
2024-05-28,Regular Day,0
2024-05-29,Regular Day,0
2024-05-30,Regular Day,0
2024-05-31,Regular Day,0
2024-06-01,Weekend,1
2024-06-02,Weekend,1
2024-06-03,HM Queen Suthida's Birthday,1
2024-06-04,Regular Day,0
2024-06-05,Regular Day,0
2024-06-06,Regular Day,0
2024-06-07,Regular Day,0
2024-06-08,Weekend,1
2024-06-09,Weekend,1
2024-06-10,Regular Day,0
2024-06-11,Regular Day,0
2024-06-12,Regular Day,0
2024-06-13,Regular Day,0
2024-06-14,Regular Day,0
2024-06-15,Weekend,1
2024-06-16,Weekend,1
2024-06-17,Regular Day,0
2024-06-18,Regular Day,0
2024-06-19,Regular Day,0
2024-06-20,Regular Day,0
2024-06-21,Regular Day,0
2024-06-22,Weekend,1
2024-06-23,Weekend,1
2024-06-24,Regular Day,0
2024-06-25,Regular Day,0
2024-06-26,Regular Day,0
2024-06-27,Regular Day,0
2024-06-28,Regular Day,0
2024-06-29,Weekend,1
2024-06-30,Weekend,1
2024-07-01,Regular Day,0
2024-07-02,Regular Day,0
2024-07-03,Regular Day,0
2024-07-04,Regular Day,0
2024-07-05,Regular Day,0
2024-07-06,Weekend,1
2024-07-07,Weekend,1
2024-07-08,Regular Day,0
2024-07-09,Regular Day,0
2024-07-10,Regular Day,0
2024-07-11,Regular Day,0
2024-07-12,Regular Day,0
2024-07-13,Weekend,1
2024-07-14,Weekend,1
2024-07-15,Regular Day,0
2024-07-16,Regular Day,0
2024-07-17,Regular Day,0
2024-07-18,Regular Day,0
2024-07-19,Regular Day,0
2024-07-20,Asarnha Bucha,1
2024-07-21,Buddhist Lent Day,1
2024-07-22,Asarnha Bucha (in lieu),1
2024-07-23,Regular Day,0
2024-07-24,Regular Day,0
2024-07-25,Regular Day,0
2024-07-26,Regular Day,0
2024-07-27,Weekend,1
2024-07-28,HM King Maha Vajiralongkorn's Birthday,1
2024-07-29,HM King Maha Vajiralongkorn's Birthday (in lieu),1
2024-07-30,Regular Day,0
2024-07-31,Regular Day,0
2024-08-01,Regular Day,0
2024-08-02,Regular Day,0
2024-08-03,Weekend,1
2024-08-04,Weekend,1
2024-08-05,Regular Day,0
2024-08-06,Regular Day,0
2024-08-07,Regular Day,0
2024-08-08,Regular Day,0
2024-08-09,Regular Day,0
2024-08-10,Weekend,1
2024-08-11,Weekend,1
2024-08-12,HM Queen Sirikit The Queen Mother's Birthday; National Mother's Day,1
2024-08-13,Regular Day,0
2024-08-14,Regular Day,0
2024-08-15,Regular Day,0
2024-08-16,Regular Day,0
2024-08-17,Weekend,1
2024-08-18,Weekend,1
2024-08-19,Regular Day,0
2024-08-20,Regular Day,0
2024-08-21,Regular Day,0
2024-08-22,Regular Day,0
2024-08-23,Regular Day,0
2024-08-24,Weekend,1
2024-08-25,Weekend,1
2024-08-26,Regular Day,0
2024-08-27,Regular Day,0
2024-08-28,Regular Day,0
2024-08-29,Regular Day,0
2024-08-30,Regular Day,0
2024-08-31,Weekend,1
2024-09-01,Weekend,1
2024-09-02,Regular Day,0
2024-09-03,Regular Day,0
2024-09-04,Regular Day,0
2024-09-05,Regular Day,0
2024-09-06,Regular Day,0
2024-09-07,Weekend,1
2024-09-08,Weekend,1
2024-09-09,Regular Day,0
2024-09-10,Regular Day,0
2024-09-11,Regular Day,0
2024-09-12,Regular Day,0
2024-09-13,Regular Day,0
2024-09-14,Weekend,1
2024-09-15,Weekend,1
2024-09-16,Regular Day,0
2024-09-17,Regular Day,0
2024-09-18,Regular Day,0
2024-09-19,Regular Day,0
2024-09-20,Regular Day,0
2024-09-21,Weekend,1
2024-09-22,Weekend,1
2024-09-23,Regular Day,0
2024-09-24,Regular Day,0
2024-09-25,Regular Day,0
2024-09-26,Regular Day,0
2024-09-27,Regular Day,0
2024-09-28,Weekend,1
2024-09-29,Weekend,1
2024-09-30,Regular Day,0
2024-10-01,Regular Day,0
2024-10-02,Regular Day,0
2024-10-03,Regular Day,0
2024-10-04,Regular Day,0
2024-10-05,Weekend,1
2024-10-06,Weekend,1
2024-10-07,Regular Day,0
2024-10-08,Regular Day,0
2024-10-09,Regular Day,0
2024-10-10,Regular Day,0
2024-10-11,Regular Day,0
2024-10-12,Weekend,1
2024-10-13,HM King Bhumibol Adulyadej Memorial Day,1
2024-10-14,HM King Bhumibol Adulyadej Memorial Day (in lieu),1
2024-10-15,Regular Day,0
2024-10-16,Regular Day,0
2024-10-17,Regular Day,0
2024-10-18,Regular Day,0
2024-10-19,Weekend,1
2024-10-20,Weekend,1
2024-10-21,Regular Day,0
2024-10-22,Regular Day,0
2024-10-23,HM King Chulalongkorn Memorial Day,1
2024-10-24,Regular Day,0
2024-10-25,Regular Day,0
2024-10-26,Weekend,1
2024-10-27,Weekend,1
2024-10-28,Regular Day,0
2024-10-29,Regular Day,0
2024-10-30,Regular Day,0
2024-10-31,Regular Day,0
2024-11-01,Regular Day,0
2024-11-02,Weekend,1
2024-11-03,Weekend,1
2024-11-04,Regular Day,0
2024-11-05,Regular Day,0
2024-11-06,Regular Day,0
2024-11-07,Regular Day,0
2024-11-08,Regular Day,0
2024-11-09,Weekend,1
2024-11-10,Weekend,1
2024-11-11,Regular Day,0
2024-11-12,Regular Day,0
2024-11-13,Regular Day,0
2024-11-14,Regular Day,0
2024-11-15,Regular Day,0
2024-11-16,Weekend,1
2024-11-17,Weekend,1
2024-11-18,Regular Day,0
2024-11-19,Regular Day,0
2024-11-20,Regular Day,0
2024-11-21,Regular Day,0
2024-11-22,Regular Day,0
2024-11-23,Weekend,1
2024-11-24,Weekend,1
2024-11-25,Regular Day,0
2024-11-26,Regular Day,0
2024-11-27,Regular Day,0
2024-11-28,Regular Day,0
2024-11-29,Regular Day,0
2024-11-30,Weekend,1
2024-12-01,Weekend,1
2024-12-02,Regular Day,0
2024-12-03,Regular Day,0
2024-12-04,Regular Day,0
2024-12-05,HM King Bhumibol Adulyadej the Great's Birthday; National Day; National Father's Day,1
2024-12-06,Regular Day,0
2024-12-07,Weekend,1
2024-12-08,Weekend,1
2024-12-09,Regular Day,0
2024-12-10,Constitution Day,1
2024-12-11,Regular Day,0
2024-12-12,Regular Day,0
2024-12-13,Regular Day,0
2024-12-14,Weekend,1
2024-12-15,Weekend,1
2024-12-16,Regular Day,0
2024-12-17,Regular Day,0
2024-12-18,Regular Day,0
2024-12-19,Regular Day,0
2024-12-20,Regular Day,0
2024-12-21,Weekend,1
2024-12-22,Weekend,1
2024-12-23,Regular Day,0
2024-12-24,Regular Day,0
2024-12-25,Regular Day,0
2024-12-26,Regular Day,0
2024-12-27,Regular Day,0
2024-12-28,Weekend,1
2024-12-29,Weekend,1
2024-12-30,Bridge Public Holiday,1
2024-12-31,New Year's Eve,1
