po_id,datetime,product_id,qty,customer_id,promotion_id,store_id,price
PO000024,2023-01-02 18:55:00,SKU009,2,CUST143,NO_PROMO,STORE004,320.5
PO000025,2024-07-09 15:26:00,SKU054,2,CUST338,NO_PROMO,STORE002,452.67
PO000026,2023-02-25 11:33:00,SKU027,3,CUST358,PROMO018,STORE007,139.85
PO000027,2024-01-06 17:48:00,SKU034,2,CUST397,NO_PROMO,STORE002,477.0
PO000028,2024-05-25 18:28:00,SKU001,1,CUST024,NO_PROMO,STORE002,218.54
PO000029,2023-02-22 11:17:00,SKU032,1,CUST141,NO_PROMO,STORE009,126.74
PO000030,2024-07-16 10:59:00,SKU071,1,CUST449,NO_PROMO,STORE002,397.51
PO000031,2023-10-22 15:56:00,SKU067,1,CUST240,NO_PROMO,STORE010,113.42
PO000032,2024-12-16 15:07:00,SKU020,4,CUST292,NO_PROMO,STORE003,181.05
PO000033,2023-01-30 18:38:00,SKU035,1,CUST305,NO_PROMO,STORE003,484.53
PO000034,2023-09-03 19:10:00,SKU078,2,CUST082,NO_PROMO,STORE002,83.32
PO000035,2023-11-15 16:00:00,SKU017,2,CUST048,PROMO006,STORE010,186.91
PO000036,2024-07-19 14:05:00,SKU018,1,CUST353,NO_PROMO,STORE003,286.14
PO000037,2023-08-19 21:58:00,SKU045,4,CUST358,NO_PROMO,STORE009,166.45
PO000038,2023-04-27 15:07:00,SKU053,3,CUST171,NO_PROMO,STORE003,472.77
PO000039,2024-10-25 21:09:00,SKU068,2,CUST262,PROMO018,STORE005,410.99
PO000040,2024-05-25 19:18:00,SKU065,1,CUST465,NO_PROMO,STORE007,176.42
PO000041,2024-06-05 19:17:00,SKU001,1,CUST068,NO_PROMO,STORE001,218.54
PO000042,2024-03-01 21:30:00,SKU058,1,CUST014,PROMO027,STORE001,138.19
PO000043,2024-04-28 11:29:00,SKU026,1,CUST030,NO_PROMO,STORE010,403.33
PO000044,2024-07-18 10:24:00,SKU020,2,CUST110,NO_PROMO,STORE002,181.05
PO000045,2023-07-15 17:32:00,SKU010,4,CUST212,NO_PROMO,STORE001,368.63
PO000046,2023-05-20 21:04:00,SKU059,2,CUST264,NO_PROMO,STORE001,70.35
PO000047,2023-10-10 20:50:00,SKU075,3,CUST438,NO_PROMO,STORE010,368.09
PO000048,2024-02-29 13:59:00,SKU041,2,CUST322,NO_PROMO,STORE004,104.92
PO000049,2024-06-03 12:52:00,SKU005,1,CUST485,NO_PROMO,STORE010,120.21
PO000050,2023-01-03 12:46:00,SKU065,3,CUST388,NO_PROMO,STORE003,176.42
PO000051,2023-11-02 21:37:00,SKU017,1,CUST202,PROMO006,STORE001,186.91
PO000052,2024-08-16 18:31:00,SKU022,3,CUST084,NO_PROMO,STORE003,112.77
PO000053,2023-06-02 15:34:00,SKU041,1,CUST444,PROMO007,STORE001,104.92
PO000054,2024-05-10 13:21:00,SKU068,1,CUST376,NO_PROMO,STORE003,410.99
PO000055,2024-07-19 20:34:00,SKU069,3,CUST053,NO_PROMO,STORE004,83.55
PO000056,2024-01-22 15:59:00,SKU011,2,CUST355,NO_PROMO,STORE008,59.26
PO000057,2023-11-26 21:12:00,SKU056,3,CUST496,NO_PROMO,STORE003,464.84
PO000058,2024-12-15 11:36:00,SKU051,4,CUST256,NO_PROMO,STORE003,486.31
PO000059,2024-01-28 11:54:00,SKU021,1,CUST074,PROMO029,STORE009,325.33
PO000060,2024-02-25 08:20:00,SKU076,2,CUST220,PROMO030,STORE009,378.05
PO000061,2024-04-29 19:58:00,SKU026,1,CUST143,NO_PROMO,STORE006,403.33
PO000062,2024-01-26 14:42:00,SKU019,2,CUST100,NO_PROMO,STORE010,244.38
PO000063,2024-10-29 10:31:00,SKU060,3,CUST129,NO_PROMO,STORE004,196.4
PO000064,2023-02-07 10:32:00,SKU071,1,CUST406,NO_PROMO,STORE010,397.51
PO000065,2024-08-27 13:55:00,SKU047,2,CUST219,NO_PROMO,STORE005,190.27
PO000066,2023-04-13 21:54:00,SKU071,2,CUST477,NO_PROMO,STORE009,397.51
PO000067,2024-03-26 09:33:00,SKU026,1,CUST271,NO_PROMO,STORE001,403.33
PO000068,2024-04-12 08:46:00,SKU040,3,CUST458,NO_PROMO,STORE007,248.07
PO000069,2023-05-28 14:55:00,SKU005,2,CUST468,PROMO020,STORE007,120.21
PO000070,2024-11-01 10:04:00,SKU021,4,CUST022,NO_PROMO,STORE010,325.33
PO000071,2024-04-25 20:16:00,SKU078,1,CUST178,NO_PROMO,STORE001,83.32
PO000072,2023-12-13 17:44:00,SKU004,1,CUST048,NO_PROMO,STORE001,319.4
PO000073,2024-02-12 18:05:00,SKU023,2,CUST117,PROMO030,STORE009,181.47
PO000074,2023-12-03 21:43:00,SKU015,1,CUST329,PROMO025,STORE007,131.82
PO000075,2024-06-30 14:20:00,SKU008,4,CUST376,NO_PROMO,STORE004,439.78
PO000076,2024-10-03 19:56:00,SKU041,1,CUST179,PROMO007,STORE009,104.92
PO000077,2024-05-14 21:34:00,SKU019,3,CUST480,NO_PROMO,STORE005,244.38
PO000078,2023-02-06 17:04:00,SKU046,2,CUST273,NO_PROMO,STORE003,348.14
PO000079,2023-08-29 18:43:00,SKU028,1,CUST362,NO_PROMO,STORE002,281.41
PO000080,2023-10-22 11:47:00,SKU068,1,CUST339,NO_PROMO,STORE009,410.99
PO000081,2023-04-03 14:06:00,SKU015,2,CUST360,PROMO010,STORE004,131.82
PO000082,2024-10-10 19:55:00,SKU037,2,CUST347,NO_PROMO,STORE007,187.08
PO000083,2023-04-13 15:10:00,SKU001,1,CUST179,NO_PROMO,STORE001,218.54
PO000084,2024-12-11 12:57:00,SKU067,4,CUST421,NO_PROMO,STORE009,113.42
PO000085,2023-01-30 08:20:00,SKU024,1,CUST482,NO_PROMO,STORE009,214.86
PO000086,2023-02-27 12:22:00,SKU027,1,CUST495,NO_PROMO,STORE010,139.85
PO000087,2024-01-19 14:09:00,SKU040,2,CUST049,PROMO007,STORE006,248.07
PO000088,2023-09-08 16:26:00,SKU063,1,CUST315,PROMO021,STORE006,422.93
PO000089,2024-08-02 18:50:00,SKU061,4,CUST394,NO_PROMO,STORE006,224.9
PO000090,2023-07-04 10:11:00,SKU036,1,CUST255,NO_PROMO,STORE005,413.78
PO000091,2023-03-22 17:55:00,SKU024,1,CUST030,NO_PROMO,STORE001,214.86
PO000092,2024-01-27 17:43:00,SKU024,1,CUST085,NO_PROMO,STORE004,214.86
PO000093,2023-09-04 15:58:00,SKU004,2,CUST277,PROMO002,STORE010,319.4
PO000094,2024-08-20 10:14:00,SKU067,2,CUST034,NO_PROMO,STORE001,113.42
PO000095,2024-04-17 18:16:00,SKU034,2,CUST329,PROMO001,STORE005,477.0
PO000096,2024-04-15 12:42:00,SKU057,1,CUST098,PROMO007,STORE004,89.82
PO000097,2023-01-10 20:29:00,SKU049,1,CUST434,NO_PROMO,STORE008,296.02
PO000098,2023-10-22 18:34:00,SKU053,3,CUST076,NO_PROMO,STORE001,472.77
PO000099,2023-06-11 09:28:00,SKU023,1,CUST175,PROMO015,STORE008,181.47
PO000100,2023-12-20 17:19:00,SKU069,3,CUST341,NO_PROMO,STORE008,83.55
PO000101,2024-10-16 14:44:00,SKU053,1,CUST249,NO_PROMO,STORE001,472.77
PO000102,2023-09-14 15:54:00,SKU062,3,CUST340,PROMO023,STORE009,172.11
PO000103,2023-11-06 11:24:00,SKU041,1,CUST134,NO_PROMO,STORE009,104.92
PO000104,2024-05-09 09:15:00,SKU057,2,CUST178,NO_PROMO,STORE006,89.82
PO000105,2024-01-26 17:22:00,SKU060,1,CUST365,NO_PROMO,STORE001,196.4
PO000106,2024-08-11 12:44:00,SKU054,1,CUST228,PROMO016,STORE007,452.67
PO000107,2023-10-30 08:53:00,SKU070,1,CUST063,NO_PROMO,STORE007,494.1
PO000108,2024-11-05 14:17:00,SKU057,1,CUST268,NO_PROMO,STORE009,89.82
PO000109,2023-01-09 17:55:00,SKU010,1,CUST425,PROMO003,STORE001,368.63
PO000110,2024-12-03 20:47:00,SKU040,2,CUST415,PROMO010,STORE008,248.07
PO000111,2023-02-20 17:47:00,SKU007,2,CUST258,PROMO016,STORE008,76.14
PO000112,2024-05-23 21:57:00,SKU038,3,CUST144,PROMO014,STORE007,93.95
PO000113,2023-10-21 20:51:00,SKU061,2,CUST385,PROMO026,STORE006,224.9
PO000114,2023-08-24 17:51:00,SKU003,2,CUST388,NO_PROMO,STORE001,379.4
PO000115,2023-12-27 11:40:00,SKU051,1,CUST303,NO_PROMO,STORE010,486.31
PO000116,2023-07-14 17:16:00,SKU047,1,CUST500,NO_PROMO,STORE008,190.27
PO000117,2024-11-25 20:46:00,SKU068,1,CUST449,NO_PROMO,STORE005,410.99
PO000118,2024-11-06 18:53:00,SKU076,3,CUST052,NO_PROMO,STORE004,378.05
PO000119,2023-05-21 18:06:00,SKU038,1,CUST303,NO_PROMO,STORE005,93.95
PO000120,2024-10-04 18:02:00,SKU036,1,CUST099,PROMO009,STORE005,413.78
PO000121,2023-11-13 20:28:00,SKU041,2,CUST461,NO_PROMO,STORE010,104.92
PO000122,2023-02-04 17:23:00,SKU069,1,CUST306,NO_PROMO,STORE003,83.55
PO000123,2023-05-15 09:58:00,SKU013,3,CUST045,PROMO020,STORE004,424.6
PO000124,2023-10-30 13:47:00,SKU058,3,CUST042,PROMO010,STORE004,138.19
PO000125,2024-03-01 10:12:00,SKU050,1,CUST479,NO_PROMO,STORE008,133.18
PO000126,2023-05-16 20:34:00,SKU030,1,CUST468,NO_PROMO,STORE005,70.9
PO000127,2024-01-10 16:32:00,SKU062,1,CUST440,NO_PROMO,STORE006,172.11
PO000128,2023-10-07 21:10:00,SKU025,2,CUST327,PROMO014,STORE010,255.23
PO000129,2023-09-21 21:30:00,SKU027,1,CUST057,PROMO026,STORE002,139.85
PO000130,2023-10-30 19:55:00,SKU051,2,CUST488,NO_PROMO,STORE009,486.31
PO000131,2023-12-13 20:07:00,SKU078,2,CUST033,NO_PROMO,STORE008,83.32
PO000132,2024-04-24 09:09:00,SKU057,1,CUST412,NO_PROMO,STORE008,89.82
PO000133,2023-08-20 21:43:00,SKU047,1,CUST114,NO_PROMO,STORE010,190.27
PO000134,2024-11-21 14:54:00,SKU039,3,CUST300,NO_PROMO,STORE005,357.9
PO000135,2024-07-24 13:05:00,SKU016,1,CUST114,PROMO025,STORE005,132.53
PO000136,2024-02-09 08:16:00,SKU022,3,CUST056,NO_PROMO,STORE003,112.77
PO000137,2024-07-03 09:29:00,SKU054,1,CUST044,PROMO003,STORE002,452.67
PO000138,2024-01-13 18:47:00,SKU021,2,CUST212,NO_PROMO,STORE009,325.33
PO000139,2024-11-19 12:37:00,SKU072,3,CUST352,NO_PROMO,STORE006,139.42
PO000140,2024-01-26 21:40:00,SKU016,3,CUST329,PROMO019,STORE008,132.53
PO000141,2024-01-16 09:43:00,SKU059,1,CUST034,PROMO026,STORE004,70.35
PO000142,2023-08-28 15:01:00,SKU031,1,CUST270,PROMO022,STORE005,323.4
PO000143,2024-09-26 16:20:00,SKU042,3,CUST196,PROMO008,STORE010,272.83
PO000144,2024-09-16 11:41:00,SKU074,1,CUST413,NO_PROMO,STORE005,416.96
PO000145,2023-03-06 18:52:00,SKU032,1,CUST125,NO_PROMO,STORE010,126.74
PO000146,2024-04-20 19:19:00,SKU059,4,CUST079,NO_PROMO,STORE004,70.35
PO000147,2024-10-26 14:07:00,SKU034,1,CUST255,NO_PROMO,STORE002,477.0
PO000148,2023-05-24 08:02:00,SKU009,1,CUST145,NO_PROMO,STORE006,320.5
PO000149,2023-11-08 15:07:00,SKU011,1,CUST083,NO_PROMO,STORE004,59.26
PO000150,2023-04-10 11:56:00,SKU010,2,CUST230,NO_PROMO,STORE004,368.63
PO000151,2024-07-04 10:24:00,SKU017,2,CUST137,NO_PROMO,STORE010,186.91
PO000152,2024-04-09 13:42:00,SKU068,1,CUST027,NO_PROMO,STORE003,410.99
PO000153,2024-12-14 16:26:00,SKU048,1,CUST177,NO_PROMO,STORE008,284.03
PO000154,2024-08-24 19:46:00,SKU052,1,CUST207,PROMO024,STORE006,398.81
PO000155,2023-06-08 14:41:00,SKU025,2,CUST421,NO_PROMO,STORE009,255.23
PO000156,2023-04-12 21:31:00,SKU021,1,CUST412,NO_PROMO,STORE005,325.33
PO000157,2024-09-22 14:17:00,SKU065,4,CUST306,NO_PROMO,STORE006,176.42
PO000158,2023-02-03 19:23:00,SKU063,1,CUST311,NO_PROMO,STORE009,422.93
PO000159,2023-08-11 15:28:00,SKU051,5,CUST388,PROMO011,STORE004,486.31
PO000160,2023-08-30 21:23:00,SKU036,1,CUST213,NO_PROMO,STORE010,413.78
PO000161,2023-04-12 18:23:00,SKU066,3,CUST354,NO_PROMO,STORE007,294.21
PO000162,2024-07-11 18:22:00,SKU015,1,CUST403,NO_PROMO,STORE010,131.82
PO000163,2023-03-04 14:17:00,SKU039,1,CUST037,NO_PROMO,STORE010,357.9
PO000164,2023-07-14 09:54:00,SKU070,3,CUST388,PROMO004,STORE006,494.1
PO000165,2024-04-10 09:42:00,SKU001,3,CUST293,NO_PROMO,STORE006,218.54
PO000166,2023-08-06 18:40:00,SKU023,1,CUST179,NO_PROMO,STORE006,181.47
PO000167,2024-09-03 08:03:00,SKU039,2,CUST160,NO_PROMO,STORE004,357.9
PO000168,2023-12-08 11:08:00,SKU057,2,CUST429,PROMO003,STORE010,89.82
PO000169,2024-08-01 11:04:00,SKU034,3,CUST368,PROMO003,STORE006,477.0
PO000170,2024-07-21 11:37:00,SKU041,1,CUST012,NO_PROMO,STORE007,104.92
PO000171,2023-08-10 21:55:00,SKU073,2,CUST169,NO_PROMO,STORE002,52.48
PO000172,2023-08-27 13:49:00,SKU013,1,CUST312,PROMO011,STORE009,424.6
PO000173,2023-06-01 20:57:00,SKU070,1,CUST080,PROMO006,STORE007,494.1
PO000174,2024-09-02 08:17:00,SKU006,3,CUST014,NO_PROMO,STORE003,120.2
PO000175,2023-05-29 10:34:00,SKU052,1,CUST054,NO_PROMO,STORE010,398.81
PO000176,2023-09-14 20:11:00,SKU003,1,CUST447,PROMO013,STORE010,379.4
PO000177,2023-04-23 18:55:00,SKU063,2,CUST254,NO_PROMO,STORE007,422.93
PO000178,2023-01-27 10:00:00,SKU049,2,CUST065,NO_PROMO,STORE010,296.02
PO000179,2024-01-02 20:50:00,SKU076,1,CUST372,NO_PROMO,STORE010,378.05
PO000180,2023-09-01 17:20:00,SKU047,1,CUST058,NO_PROMO,STORE005,190.27
PO000181,2023-01-17 10:16:00,SKU055,4,CUST096,NO_PROMO,STORE009,319.05
PO000182,2023-02-23 10:47:00,SKU064,1,CUST021,NO_PROMO,STORE006,210.54
PO000183,2024-03-07 16:07:00,SKU065,2,CUST260,NO_PROMO,STORE007,176.42
PO000184,2023-03-07 15:28:00,SKU067,2,CUST073,NO_PROMO,STORE004,113.42
PO000185,2024-01-06 16:37:00,SKU015,1,CUST248,NO_PROMO,STORE002,131.82
PO000186,2023-04-22 15:32:00,SKU032,4,CUST127,PROMO023,STORE004,126.74
PO000187,2023-08-15 17:02:00,SKU068,2,CUST499,NO_PROMO,STORE009,410.99
PO000188,2024-11-05 16:19:00,SKU018,1,CUST046,NO_PROMO,STORE003,286.14
PO000189,2024-04-14 18:01:00,SKU043,2,CUST470,NO_PROMO,STORE007,65.47
PO000190,2023-03-04 15:54:00,SKU035,2,CUST268,NO_PROMO,STORE004,484.53
PO000191,2024-02-16 14:43:00,SKU078,2,CUST128,NO_PROMO,STORE003,83.32
PO000192,2023-04-21 15:45:00,SKU058,3,CUST030,PROMO014,STORE005,138.19
PO000193,2024-03-30 09:57:00,SKU033,1,CUST094,PROMO001,STORE002,79.27
PO000194,2023-03-24 13:38:00,SKU014,1,CUST224,PROMO029,STORE010,145.55
PO000195,2023-06-01 09:08:00,SKU034,1,CUST316,NO_PROMO,STORE004,477.0
PO000196,2023-10-09 17:40:00,SKU061,1,CUST100,NO_PROMO,STORE007,224.9
PO000197,2024-08-22 16:45:00,SKU004,1,CUST071,NO_PROMO,STORE002,319.4
PO000198,2023-11-29 14:38:00,SKU059,3,CUST081,NO_PROMO,STORE010,70.35
PO000199,2024-06-27 12:29:00,SKU029,2,CUST449,NO_PROMO,STORE006,316.59
PO000200,2024-06-01 17:27:00,SKU006,2,CUST398,NO_PROMO,STORE005,120.2
PO000201,2023-04-12 20:44:00,SKU049,2,CUST367,PROMO008,STORE003,296.02
PO000202,2023-04-28 21:41:00,SKU040,3,CUST300,PROMO006,STORE005,248.07
PO000203,2024-10-28 20:35:00,SKU065,1,CUST108,PROMO013,STORE010,176.42
PO000204,2023-08-09 14:28:00,SKU069,3,CUST102,NO_PROMO,STORE007,83.55
PO000205,2023-08-22 14:21:00,SKU027,1,CUST410,PROMO022,STORE003,139.85
PO000206,2024-04-09 14:26:00,SKU080,4,CUST091,PROMO029,STORE008,102.14
PO000207,2023-04-08 13:27:00,SKU006,2,CUST365,NO_PROMO,STORE007,120.2
PO000208,2023-11-17 18:16:00,SKU013,1,CUST016,NO_PROMO,STORE004,424.6
PO000209,2024-01-19 10:43:00,SKU064,2,CUST110,NO_PROMO,STORE005,210.54
PO000210,2024-04-30 09:05:00,SKU062,2,CUST263,NO_PROMO,STORE010,172.11
PO000211,2023-03-29 09:27:00,SKU019,1,CUST160,PROMO017,STORE004,244.38
PO000212,2023-04-09 19:47:00,SKU076,2,CUST253,PROMO008,STORE002,378.05
PO000213,2024-01-17 20:08:00,SKU080,1,CUST089,PROMO024,STORE009,102.14
PO000214,2024-07-23 08:37:00,SKU043,1,CUST095,PROMO006,STORE001,65.47
PO000215,2024-07-29 16:21:00,SKU074,4,CUST272,NO_PROMO,STORE008,416.96
PO000216,2024-11-17 09:26:00,SKU020,2,CUST247,NO_PROMO,STORE004,181.05
PO000217,2023-12-29 21:42:00,SKU068,3,CUST361,NO_PROMO,STORE009,410.99
PO000218,2024-03-09 21:58:00,SKU044,2,CUST378,NO_PROMO,STORE003,459.19
PO000219,2023-02-22 12:38:00,SKU023,1,CUST206,NO_PROMO,STORE007,181.47
PO000220,2023-11-16 13:06:00,SKU002,2,CUST345,PROMO023,STORE003,477.82
PO000221,2024-08-14 16:13:00,SKU022,2,CUST318,PROMO012,STORE010,112.77
PO000222,2023-06-08 18:30:00,SKU057,4,CUST286,NO_PROMO,STORE007,89.82
PO000223,2023-08-18 21:06:00,SKU072,1,CUST248,NO_PROMO,STORE002,139.42
PO000224,2023-12-25 21:35:00,SKU007,3,CUST455,NO_PROMO,STORE003,76.14
PO000225,2024-01-12 09:48:00,SKU078,4,CUST396,NO_PROMO,STORE008,83.32
PO000226,2023-10-13 17:14:00,SKU056,2,CUST067,PROMO006,STORE007,464.84
PO000227,2024-03-15 21:35:00,SKU067,4,CUST475,NO_PROMO,STORE003,113.42
PO000228,2024-09-28 17:43:00,SKU016,1,CUST046,PROMO024,STORE008,132.53
PO000229,2024-10-20 16:01:00,SKU051,4,CUST467,NO_PROMO,STORE009,486.31
PO000230,2024-09-15 18:53:00,SKU080,2,CUST043,NO_PROMO,STORE002,102.14
PO000231,2024-12-11 12:01:00,SKU072,1,CUST229,PROMO029,STORE002,139.42
PO000232,2023-07-04 12:44:00,SKU012,4,CUST439,PROMO010,STORE007,486.46
PO000233,2023-11-13 13:22:00,SKU053,1,CUST301,PROMO026,STORE008,472.77
PO000234,2023-01-07 10:55:00,SKU075,1,CUST444,PROMO011,STORE005,368.09
PO000235,2023-05-27 17:42:00,SKU005,2,CUST234,NO_PROMO,STORE002,120.21
PO000236,2024-02-15 09:09:00,SKU027,1,CUST199,NO_PROMO,STORE010,139.85
PO000237,2024-10-10 08:05:00,SKU012,1,CUST497,NO_PROMO,STORE005,486.46
PO000238,2024-06-27 11:24:00,SKU017,3,CUST336,NO_PROMO,STORE003,186.91
PO000239,2024-03-05 15:21:00,SKU006,1,CUST032,PROMO023,STORE009,120.2
PO000240,2023-06-11 13:19:00,SKU005,1,CUST264,PROMO017,STORE002,120.21
PO000241,2023-11-29 20:36:00,SKU057,1,CUST113,PROMO018,STORE009,89.82
PO000242,2024-09-02 09:56:00,SKU028,1,CUST461,PROMO020,STORE002,281.41
PO000243,2023-02-23 10:10:00,SKU078,2,CUST318,NO_PROMO,STORE001,83.32
PO000244,2024-09-24 08:43:00,SKU069,3,CUST459,PROMO007,STORE010,83.55
PO000245,2023-03-25 12:28:00,SKU059,4,CUST276,NO_PROMO,STORE006,70.35
PO000246,2024-11-08 14:31:00,SKU033,2,CUST146,NO_PROMO,STORE006,79.27
PO000247,2024-09-13 15:26:00,SKU062,1,CUST357,NO_PROMO,STORE004,172.11
PO000248,2023-10-07 11:48:00,SKU050,4,CUST006,NO_PROMO,STORE002,133.18
PO000249,2024-06-08 09:22:00,SKU019,3,CUST340,NO_PROMO,STORE010,244.38
PO000250,2024-03-16 09:18:00,SKU069,2,CUST480,NO_PROMO,STORE003,83.55
PO000251,2024-11-25 18:37:00,SKU066,2,CUST494,NO_PROMO,STORE006,294.21
PO000252,2024-05-13 16:42:00,SKU047,4,CUST108,PROMO027,STORE004,190.27
PO000253,2023-11-12 08:14:00,SKU039,2,CUST413,NO_PROMO,STORE005,357.9
PO000254,2024-02-09 17:03:00,SKU068,1,CUST260,PROMO030,STORE009,410.99
PO000255,2023-01-08 11:19:00,SKU033,2,CUST071,NO_PROMO,STORE005,79.27
PO000256,2023-08-05 20:08:00,SKU013,1,CUST427,NO_PROMO,STORE010,424.6
PO000257,2023-09-19 12:20:00,SKU054,1,CUST340,PROMO009,STORE008,452.67
PO000258,2023-05-03 08:31:00,SKU007,1,CUST162,PROMO019,STORE002,76.14
PO000259,2024-03-16 10:08:00,SKU079,1,CUST100,PROMO019,STORE006,211.31
PO000260,2024-01-25 16:45:00,SKU014,1,CUST327,NO_PROMO,STORE006,145.55
PO000261,2023-08-24 16:35:00,SKU019,1,CUST033,NO_PROMO,STORE005,244.38
PO000262,2024-11-15 20:22:00,SKU054,2,CUST143,NO_PROMO,STORE006,452.67
PO000263,2023-03-15 14:55:00,SKU020,3,CUST244,NO_PROMO,STORE005,181.05
PO000264,2023-02-13 14:01:00,SKU029,5,CUST224,PROMO020,STORE002,316.59
PO000265,2024-04-15 09:55:00,SKU024,1,CUST214,NO_PROMO,STORE005,214.86
PO000266,2023-11-17 17:27:00,SKU063,2,CUST120,NO_PROMO,STORE001,422.93
PO000267,2024-08-10 14:45:00,SKU074,4,CUST168,NO_PROMO,STORE003,416.96
PO000268,2024-10-17 14:18:00,SKU057,1,CUST349,NO_PROMO,STORE007,89.82
PO000269,2023-04-28 14:01:00,SKU008,2,CUST217,NO_PROMO,STORE004,439.78
PO000270,2023-11-29 10:51:00,SKU062,3,CUST389,PROMO006,STORE008,172.11
PO000271,2024-09-24 15:53:00,SKU029,1,CUST462,NO_PROMO,STORE003,316.59
PO000272,2024-12-07 13:05:00,SKU074,3,CUST434,PROMO028,STORE007,416.96
PO000273,2024-03-23 21:06:00,SKU017,3,CUST355,NO_PROMO,STORE002,186.91
PO000274,2023-09-07 14:37:00,SKU066,1,CUST322,PROMO025,STORE008,294.21
PO000275,2024-02-15 16:05:00,SKU006,1,CUST217,NO_PROMO,STORE003,120.2
PO000276,2024-02-10 21:19:00,SKU058,1,CUST054,NO_PROMO,STORE006,138.19
PO000277,2023-12-14 11:21:00,SKU069,1,CUST208,NO_PROMO,STORE002,83.55
PO000278,2023-06-22 09:32:00,SKU028,2,CUST430,NO_PROMO,STORE007,281.41
PO000279,2024-10-10 09:33:00,SKU062,2,CUST080,NO_PROMO,STORE004,172.11
PO000280,2024-06-06 11:57:00,SKU041,1,CUST395,NO_PROMO,STORE006,104.92
PO000281,2023-12-24 13:46:00,SKU069,4,CUST380,PROMO015,STORE002,83.55
PO000282,2024-10-22 21:09:00,SKU041,1,CUST433,NO_PROMO,STORE003,104.92
PO000283,2023-08-30 09:09:00,SKU049,1,CUST483,NO_PROMO,STORE003,296.02
PO000284,2023-09-20 11:11:00,SKU049,1,CUST151,NO_PROMO,STORE004,296.02
PO000285,2024-09-08 10:48:00,SKU076,2,CUST055,NO_PROMO,STORE001,378.05
PO000286,2024-11-02 09:11:00,SKU071,1,CUST005,PROMO025,STORE006,397.51
PO000287,2024-10-05 15:29:00,SKU003,1,CUST448,PROMO024,STORE006,379.4
PO000288,2024-07-31 20:37:00,SKU010,1,CUST035,NO_PROMO,STORE004,368.63
PO000289,2024-04-04 18:59:00,SKU035,3,CUST349,NO_PROMO,STORE008,484.53
PO000290,2024-08-01 18:40:00,SKU080,5,CUST495,NO_PROMO,STORE005,102.14
PO000291,2024-10-01 13:55:00,SKU002,1,CUST119,NO_PROMO,STORE010,477.82
PO000292,2024-10-04 13:09:00,SKU024,1,CUST197,NO_PROMO,STORE004,214.86
PO000293,2024-03-26 09:30:00,SKU074,2,CUST054,NO_PROMO,STORE007,416.96
PO000294,2024-03-28 18:19:00,SKU038,2,CUST259,NO_PROMO,STORE010,93.95
PO000295,2023-10-09 17:03:00,SKU022,1,CUST262,PROMO019,STORE010,112.77
PO000296,2023-12-27 16:04:00,SKU026,4,CUST343,NO_PROMO,STORE008,403.33
PO000297,2023-11-14 15:28:00,SKU043,2,CUST366,NO_PROMO,STORE002,65.47
PO000298,2023-02-08 08:23:00,SKU055,1,CUST312,NO_PROMO,STORE001,319.05
PO000299,2023-10-21 09:41:00,SKU039,2,CUST002,NO_PROMO,STORE006,357.9
PO000300,2023-04-03 17:38:00,SKU029,4,CUST082,PROMO002,STORE002,316.59
