po_id,supplier_id,order_date,delivery_date,product_id,qty,status,cost
SPO00095,SUP_GLOBAL_IMPORT,2024-11-03,2024-06-01,SKU028,1000,DELIVERED,155.09
SPO00096,SUP_BANGKOK_DIST,2023-04-16,2023-07-22,SKU062,1000,PENDING,77.51
SPO00097,SUP_GLOBAL_IMPORT,2024-02-19,2023-05-24,SKU002,200,PENDING,250.69
SPO00098,SUP_GLOBAL_IMPORT,2024-09-12,2023-07-01,SKU072,1000,DELIVERED,62.45
SPO00099,SUP_LOCAL_SME,2024-06-23,2024-11-04,SKU065,200,DELIVERED,80.62
SPO00100,SUP_GLOBAL_IMPORT,2024-12-11,2024-03-12,SKU021,100,DELIVERED,132.18
SPO00101,SUP_GLOBAL_IMPORT,2024-07-26,2023-09-30,SKU015,1000,DELIVERED,73.05
SPO00102,SUP_BANGKOK_DIST,2024-10-23,2024-08-15,SKU055,100,DELIVERED,187.79
SPO00103,SUP_BANGKOK_DIST,2024-12-21,2024-01-11,SKU008,500,DELIVERED,231.99
SPO00104,SUP_LOCAL_SME,2023-07-29,2024-05-02,SKU020,1000,DELIVERED,76.33
SPO00105,SUP_BANGKOK_DIST,2024-05-10,2024-10-16,SKU077,200,PENDING,212.2
SPO00106,SUP_BANGKOK_DIST,2024-12-19,2023-02-02,SKU064,500,DELIVERED,96.89
SPO00107,SUP_GLOBAL_IMPORT,2023-04-16,2023-12-06,SKU039,1000,DELIVERED,207.05
SPO00108,SUP_LOCAL_SME,2024-03-22,2024-12-09,SKU007,100,DELIVERED,41.57
SPO00109,SUP_LOCAL_SME,2023-04-06,2024-10-23,SKU057,500,DELIVERED,45.25
SPO00110,SUP_GLOBAL_IMPORT,2023-04-20,2023-11-14,SKU075,200,DELIVERED,219.8
SPO00111,SUP_BANGKOK_DIST,2024-01-10,2024-11-16,SKU031,200,DELIVERED,148.1
SPO00112,SUP_BANGKOK_DIST,2024-06-12,2024-01-17,SKU034,100,DELIVERED,267.89
SPO00113,SUP_BANGKOK_DIST,2024-02-03,2024-11-30,SKU075,200,DELIVERED,219.8
SPO00114,SUP_LOCAL_SME,2024-03-10,2023-09-21,SKU051,1000,DELIVERED,235.12
SPO00115,SUP_GLOBAL_IMPORT,2024-06-13,2024-01-31,SKU056,500,DELIVERED,215.98
SPO00116,SUP_GLOBAL_IMPORT,2024-03-08,2024-05-22,SKU029,1000,DELIVERED,141.12
SPO00117,SUP_BANGKOK_DIST,2023-04-26,2024-01-13,SKU063,200,DELIVERED,211.23
SPO00118,SUP_LOCAL_SME,2023-03-29,2023-11-12,SKU033,100,DELIVERED,46.45
SPO00119,SUP_GLOBAL_IMPORT,2024-08-05,2024-01-20,SKU045,1000,PENDING,74.17
SPO00120,SUP_BANGKOK_DIST,2024-08-07,2023-09-22,SKU006,200,DELIVERED,55.9
SPO00121,SUP_BANGKOK_DIST,2024-04-26,2023-03-13,SKU037,100,DELIVERED,104.9
SPO00122,SUP_GLOBAL_IMPORT,2024-01-30,2024-02-01,SKU053,1000,DELIVERED,200.44
SPO00123,SUP_GLOBAL_IMPORT,2024-03-25,2024-03-21,SKU002,200,DELIVERED,250.69
SPO00124,SUP_GLOBAL_IMPORT,2023-12-31,2024-07-10,SKU057,100,DELIVERED,45.25
SPO00125,SUP_LOCAL_SME,2024-08-16,2024-03-08,SKU051,100,DELIVERED,235.12
SPO00126,SUP_BANGKOK_DIST,2024-12-30,2024-06-13,SKU039,1000,DELIVERED,207.05
SPO00127,SUP_GLOBAL_IMPORT,2024-06-17,2024-11-20,SKU022,1000,DELIVERED,59.46
SPO00128,SUP_LOCAL_SME,2023-07-26,2023-10-08,SKU079,200,DELIVERED,94.57
SPO00129,SUP_LOCAL_SME,2024-11-10,2023-07-27,SKU043,500,PENDING,30.35
SPO00130,SUP_GLOBAL_IMPORT,2023-07-23,2024-08-05,SKU038,1000,DELIVERED,41.09
SPO00131,SUP_GLOBAL_IMPORT,2023-06-13,2023-08-30,SKU064,1000,DELIVERED,96.89
SPO00132,SUP_GLOBAL_IMPORT,2024-02-28,2024-01-04,SKU037,100,PENDING,104.9
SPO00133,SUP_GLOBAL_IMPORT,2023-03-09,2024-07-19,SKU038,200,DELIVERED,41.09
SPO00134,SUP_LOCAL_SME,2024-05-02,2024-10-10,SKU071,500,DELIVERED,231.21
SPO00135,SUP_GLOBAL_IMPORT,2023-02-12,2024-03-07,SKU031,500,DELIVERED,148.1
SPO00136,SUP_BANGKOK_DIST,2023-11-25,2023-08-15,SKU044,1000,DELIVERED,193.78
SPO00137,SUP_BANGKOK_DIST,2023-01-29,2024-02-10,SKU014,500,DELIVERED,74.56
SPO00138,SUP_GLOBAL_IMPORT,2023-12-07,2024-06-18,SKU052,500,DELIVERED,177.24
SPO00139,SUP_GLOBAL_IMPORT,2024-07-03,2023-09-07,SKU067,100,DELIVERED,59.2
SPO00140,SUP_LOCAL_SME,2023-08-01,2023-02-07,SKU005,100,DELIVERED,55.56
SPO00141,SUP_BANGKOK_DIST,2024-01-19,2024-04-21,SKU042,100,DELIVERED,158.03
SPO00142,SUP_BANGKOK_DIST,2023-07-14,2024-01-15,SKU007,1000,DELIVERED,41.57
SPO00143,SUP_LOCAL_SME,2023-09-19,2024-04-29,SKU018,500,PENDING,138.92
SPO00144,SUP_GLOBAL_IMPORT,2024-01-01,2024-06-10,SKU057,100,PENDING,45.25
SPO00145,SUP_LOCAL_SME,2024-10-21,2023-10-28,SKU074,200,DELIVERED,207.6
SPO00146,SUP_LOCAL_SME,2024-07-06,2023-06-19,SKU044,500,PENDING,193.78
SPO00147,SUP_BANGKOK_DIST,2023-03-10,2024-02-29,SKU061,200,PENDING,133.25
SPO00148,SUP_LOCAL_SME,2024-08-25,2024-07-31,SKU063,500,DELIVERED,211.23
SPO00149,SUP_BANGKOK_DIST,2023-12-23,2024-11-10,SKU032,200,PENDING,54.78
SPO00150,SUP_BANGKOK_DIST,2024-03-08,2023-09-19,SKU028,200,DELIVERED,155.09
SPO00151,SUP_LOCAL_SME,2023-12-02,2023-09-14,SKU004,1000,DELIVERED,131.82
SPO00152,SUP_LOCAL_SME,2024-03-26,2024-03-22,SKU015,200,DELIVERED,73.05
SPO00153,SUP_GLOBAL_IMPORT,2024-12-23,2024-12-12,SKU002,100,DELIVERED,250.69
SPO00154,SUP_BANGKOK_DIST,2023-06-03,2024-07-04,SKU023,100,DELIVERED,84.0
SPO00155,SUP_LOCAL_SME,2024-07-12,2024-01-02,SKU059,500,DELIVERED,33.26
SPO00156,SUP_BANGKOK_DIST,2024-01-14,2023-11-13,SKU023,100,DELIVERED,84.0
SPO00157,SUP_LOCAL_SME,2023-09-10,2023-03-07,SKU026,1000,DELIVERED,181.44
SPO00158,SUP_LOCAL_SME,2024-01-09,2023-02-08,SKU034,100,PENDING,267.89
SPO00159,SUP_GLOBAL_IMPORT,2023-09-03,2023-07-05,SKU013,1000,DELIVERED,234.45
SPO00160,SUP_GLOBAL_IMPORT,2023-09-11,2023-10-08,SKU040,100,DELIVERED,125.99
SPO00161,SUP_GLOBAL_IMPORT,2024-08-15,2024-04-22,SKU051,1000,DELIVERED,235.12
SPO00162,SUP_LOCAL_SME,2024-11-02,2023-01-11,SKU010,500,DELIVERED,182.27
SPO00163,SUP_GLOBAL_IMPORT,2024-08-30,2024-04-16,SKU039,500,DELIVERED,207.05
SPO00164,SUP_BANGKOK_DIST,2024-06-05,2023-10-18,SKU004,100,DELIVERED,131.82
SPO00165,SUP_BANGKOK_DIST,2023-06-17,2024-09-12,SKU052,500,DELIVERED,177.24
SPO00166,SUP_LOCAL_SME,2023-10-17,2024-08-05,SKU056,500,DELIVERED,215.98
SPO00167,SUP_GLOBAL_IMPORT,2023-06-13,2024-12-19,SKU027,500,DELIVERED,67.42
SPO00168,SUP_LOCAL_SME,2024-02-02,2024-04-05,SKU008,100,DELIVERED,231.99
SPO00169,SUP_LOCAL_SME,2024-02-14,2024-05-19,SKU053,1000,DELIVERED,200.44
SPO00170,SUP_BANGKOK_DIST,2024-11-06,2024-08-31,SKU013,100,DELIVERED,234.45
SPO00171,SUP_GLOBAL_IMPORT,2023-05-26,2023-10-11,SKU046,200,DELIVERED,168.99
SPO00172,SUP_BANGKOK_DIST,2023-04-07,2023-12-27,SKU036,1000,DELIVERED,237.63
SPO00173,SUP_GLOBAL_IMPORT,2024-04-24,2024-10-12,SKU043,200,DELIVERED,30.35
SPO00174,SUP_GLOBAL_IMPORT,2024-12-18,2023-01-08,SKU035,200,CANCELLED,255.19
SPO00175,SUP_LOCAL_SME,2024-05-08,2024-07-31,SKU051,500,DELIVERED,235.12
SPO00176,SUP_GLOBAL_IMPORT,2023-12-10,2023-03-11,SKU063,1000,DELIVERED,211.23
SPO00177,SUP_GLOBAL_IMPORT,2024-07-26,2023-05-26,SKU068,1000,DELIVERED,205.72
SPO00178,SUP_LOCAL_SME,2023-02-14,2024-07-30,SKU013,200,DELIVERED,234.45
SPO00179,SUP_BANGKOK_DIST,2023-03-10,2023-04-27,SKU047,200,DELIVERED,107.24
SPO00180,SUP_BANGKOK_DIST,2024-11-28,2023-02-16,SKU006,500,DELIVERED,55.9
SPO00181,SUP_BANGKOK_DIST,2023-12-05,2023-05-23,SKU018,500,DELIVERED,138.92
SPO00182,SUP_GLOBAL_IMPORT,2024-07-06,2024-12-21,SKU008,100,PENDING,231.99
SPO00183,SUP_GLOBAL_IMPORT,2023-10-02,2023-01-09,SKU041,1000,DELIVERED,58.91
SPO00184,SUP_LOCAL_SME,2024-03-11,2023-12-20,SKU061,200,PENDING,133.25
SPO00185,SUP_LOCAL_SME,2024-03-14,2024-11-07,SKU020,100,DELIVERED,76.33
SPO00186,SUP_LOCAL_SME,2024-07-15,2024-07-31,SKU056,500,DELIVERED,215.98
SPO00187,SUP_BANGKOK_DIST,2024-05-11,2023-11-19,SKU002,200,DELIVERED,250.69
SPO00188,SUP_GLOBAL_IMPORT,2024-09-11,2023-12-21,SKU066,1000,PENDING,119.85
SPO00189,SUP_LOCAL_SME,2023-08-02,2023-03-11,SKU032,200,DELIVERED,54.78
SPO00190,SUP_GLOBAL_IMPORT,2023-01-05,2024-04-26,SKU022,200,DELIVERED,59.46
SPO00191,SUP_LOCAL_SME,2023-07-27,2023-10-06,SKU041,100,PENDING,58.91
SPO00192,SUP_LOCAL_SME,2023-01-07,2024-12-11,SKU010,200,DELIVERED,182.27
SPO00193,SUP_BANGKOK_DIST,2023-06-05,2024-12-04,SKU039,100,DELIVERED,207.05
SPO00194,SUP_BANGKOK_DIST,2024-06-11,2023-08-23,SKU045,100,DELIVERED,74.17
SPO00195,SUP_GLOBAL_IMPORT,2023-12-16,2024-10-01,SKU005,500,DELIVERED,55.56
SPO00196,SUP_GLOBAL_IMPORT,2023-07-29,2023-07-14,SKU012,200,DELIVERED,263.98
SPO00197,SUP_LOCAL_SME,2023-06-11,2023-04-15,SKU032,100,DELIVERED,54.78
SPO00198,SUP_BANGKOK_DIST,2024-04-18,2023-05-29,SKU040,200,PENDING,125.99
SPO00199,SUP_GLOBAL_IMPORT,2023-07-03,2024-11-07,SKU018,1000,DELIVERED,138.92
SPO00200,SUP_BANGKOK_DIST,2024-05-05,2024-08-14,SKU074,200,DELIVERED,207.6
SPO00201,SUP_GLOBAL_IMPORT,2024-01-29,2023-10-12,SKU064,500,DELIVERED,96.89
SPO00202,SUP_GLOBAL_IMPORT,2024-03-16,2024-02-19,SKU001,100,DELIVERED,125.14
SPO00203,SUP_BANGKOK_DIST,2024-08-29,2023-07-14,SKU053,100,CANCELLED,200.44
SPO00204,SUP_GLOBAL_IMPORT,2024-07-27,2023-10-01,SKU042,1000,DELIVERED,158.03
SPO00205,SUP_GLOBAL_IMPORT,2024-10-24,2024-07-23,SKU038,500,DELIVERED,41.09
SPO00206,SUP_BANGKOK_DIST,2023-08-16,2024-11-27,SKU017,100,DELIVERED,94.3
SPO00207,SUP_BANGKOK_DIST,2023-09-19,2023-07-14,SKU062,1000,DELIVERED,77.51
SPO00208,SUP_GLOBAL_IMPORT,2023-11-21,2023-12-21,SKU028,100,PENDING,155.09
SPO00209,SUP_GLOBAL_IMPORT,2023-03-13,2024-12-11,SKU022,100,DELIVERED,59.46
SPO00210,SUP_BANGKOK_DIST,2024-10-15,2024-06-24,SKU046,500,DELIVERED,168.99
SPO00211,SUP_GLOBAL_IMPORT,2024-01-15,2024-05-25,SKU038,1000,DELIVERED,41.09
SPO00212,SUP_GLOBAL_IMPORT,2024-12-28,2024-06-28,SKU032,100,PENDING,54.78
SPO00213,SUP_GLOBAL_IMPORT,2023-03-04,2024-07-28,SKU055,200,DELIVERED,187.79
SPO00214,SUP_LOCAL_SME,2023-06-18,2024-11-28,SKU009,1000,CANCELLED,185.07
SPO00215,SUP_BANGKOK_DIST,2023-11-24,2023-12-27,SKU050,500,DELIVERED,66.88
SPO00216,SUP_LOCAL_SME,2023-05-09,2023-12-19,SKU037,500,DELIVERED,104.9
SPO00217,SUP_LOCAL_SME,2024-06-14,2023-09-30,SKU065,500,DELIVERED,80.62
SPO00218,SUP_LOCAL_SME,2024-01-15,2024-03-19,SKU079,100,DELIVERED,94.57
SPO00219,SUP_LOCAL_SME,2023-11-04,2024-09-17,SKU044,500,DELIVERED,193.78
SPO00220,SUP_GLOBAL_IMPORT,2024-03-12,2023-03-30,SKU060,1000,DELIVERED,116.73
SPO00221,SUP_LOCAL_SME,2023-04-20,2023-08-30,SKU029,100,DELIVERED,141.12
SPO00222,SUP_LOCAL_SME,2023-09-02,2023-04-09,SKU063,200,PENDING,211.23
SPO00223,SUP_BANGKOK_DIST,2023-01-05,2024-05-10,SKU076,500,PENDING,169.52
SPO00224,SUP_GLOBAL_IMPORT,2024-07-11,2023-11-12,SKU026,500,DELIVERED,181.44
SPO00225,SUP_GLOBAL_IMPORT,2024-04-23,2024-01-06,SKU045,500,DELIVERED,74.17
SPO00226,SUP_BANGKOK_DIST,2023-07-15,2024-12-04,SKU035,200,DELIVERED,255.19
SPO00227,SUP_GLOBAL_IMPORT,2023-01-08,2024-12-11,SKU078,100,DELIVERED,46.02
SPO00228,SUP_GLOBAL_IMPORT,2024-07-02,2024-12-18,SKU007,500,DELIVERED,41.57
SPO00229,SUP_BANGKOK_DIST,2024-07-31,2024-03-06,SKU067,200,DELIVERED,59.2
SPO00230,SUP_GLOBAL_IMPORT,2024-04-28,2024-05-03,SKU053,100,DELIVERED,200.44
SPO00231,SUP_LOCAL_SME,2023-05-09,2024-07-12,SKU041,1000,DELIVERED,58.91
SPO00232,SUP_LOCAL_SME,2023-01-09,2024-03-06,SKU004,500,DELIVERED,131.82
SPO00233,SUP_LOCAL_SME,2024-10-16,2023-07-27,SKU002,100,DELIVERED,250.69
SPO00234,SUP_BANGKOK_DIST,2024-04-12,2024-04-01,SKU035,500,PENDING,255.19
SPO00235,SUP_GLOBAL_IMPORT,2023-08-18,2024-02-01,SKU033,200,PENDING,46.45
SPO00236,SUP_GLOBAL_IMPORT,2024-07-22,2023-05-26,SKU050,100,DELIVERED,66.88
SPO00237,SUP_GLOBAL_IMPORT,2023-06-20,2024-11-18,SKU013,200,DELIVERED,234.45
SPO00238,SUP_GLOBAL_IMPORT,2024-05-10,2024-05-06,SKU007,500,DELIVERED,41.57
SPO00239,SUP_BANGKOK_DIST,2024-05-01,2024-03-16,SKU039,1000,DELIVERED,207.05
SPO00240,SUP_GLOBAL_IMPORT,2024-04-25,2023-06-25,SKU049,200,DELIVERED,118.82
SPO00241,SUP_BANGKOK_DIST,2024-04-11,2023-09-23,SKU003,100,DELIVERED,176.87
SPO00242,SUP_LOCAL_SME,2023-04-29,2023-07-02,SKU017,100,PENDING,94.3
SPO00243,SUP_BANGKOK_DIST,2023-05-04,2023-02-05,SKU025,500,DELIVERED,148.42
SPO00244,SUP_GLOBAL_IMPORT,2024-05-28,2023-09-27,SKU014,100,DELIVERED,74.56
SPO00245,SUP_BANGKOK_DIST,2023-10-27,2023-05-08,SKU005,500,DELIVERED,55.56
SPO00246,SUP_GLOBAL_IMPORT,2023-05-24,2024-11-06,SKU071,200,PENDING,231.21
SPO00247,SUP_BANGKOK_DIST,2023-11-23,2024-02-09,SKU033,1000,DELIVERED,46.45
SPO00248,SUP_GLOBAL_IMPORT,2023-05-12,2023-01-21,SKU051,200,DELIVERED,235.12
SPO00249,SUP_LOCAL_SME,2024-12-10,2024-09-30,SKU017,200,DELIVERED,94.3
SPO00250,SUP_LOCAL_SME,2024-05-07,2024-03-16,SKU061,500,DELIVERED,133.25
SPO00251,SUP_BANGKOK_DIST,2024-10-30,2023-08-30,SKU031,1000,DELIVERED,148.1
SPO00252,SUP_LOCAL_SME,2024-05-31,2024-09-14,SKU015,200,PENDING,73.05
SPO00253,SUP_GLOBAL_IMPORT,2024-02-04,2023-09-06,SKU040,500,DELIVERED,125.99
SPO00254,SUP_LOCAL_SME,2023-07-23,2023-09-04,SKU065,200,DELIVERED,80.62
SPO00255,SUP_LOCAL_SME,2023-01-02,2024-09-08,SKU020,200,DELIVERED,76.33
SPO00256,SUP_LOCAL_SME,2024-09-09,2023-03-22,SKU034,100,DELIVERED,267.89
SPO00257,SUP_LOCAL_SME,2023-03-04,2024-05-22,SKU065,200,DELIVERED,80.62
SPO00258,SUP_GLOBAL_IMPORT,2023-01-09,2023-11-19,SKU032,1000,DELIVERED,54.78
SPO00259,SUP_LOCAL_SME,2024-03-29,2023-02-10,SKU022,200,DELIVERED,59.46
SPO00260,SUP_LOCAL_SME,2023-03-26,2023-12-11,SKU062,500,DELIVERED,77.51
SPO00261,SUP_BANGKOK_DIST,2023-05-30,2024-09-28,SKU045,100,DELIVERED,74.17
SPO00262,SUP_GLOBAL_IMPORT,2023-03-16,2024-07-09,SKU011,500,DELIVERED,25.12
